Word,Lemmas
today,todays
buy,bought;buying;buys
account,accounts;accounted;accounting
bad,worse;worst
remember,remembered;remembering;remembers
black,blacks;blacked;blacker;blackest;blacking
patient,patients
land,lands;landed;landing
above,aboves
programme,programmes;programmed;programming
walk,walked;walking;walks
britain,britains
speak,spoke;speaking;spoken;speaks;spake
health,healths
white,whites;whiter;whitest
receive,received;receiving;receives
bank,banks;banked;banking
class,classes;classed;classing
cover,covered;covering;covers
send,sent;sending;sends
industry,industries
sense,senses;sensed;sensing
decision,decisions
god,gods
hard,harder;hardest
father,fathers;fathered;fathering
reach,reached;reaching;reaches
condition,conditions;conditioned;conditioning
sure,surest;surer
moment,moments
future,futures
decide,decided;deciding;decides
church,churches
cut,cuts;cutting
girl,girls
note,notes;noted;noting
approach,approaches;approached;approaching
street,streets
range,ranging;ranges;ranged
develop,developed;developing;develops
describe,described;describes;describing
charge,charges;charged;charging
paper,papers;papered;papering
draw,drawn;drew;drawing;draws
themselves,theirselves
agree,agreed;agrees;agreeing
likely,likeliest;likelier
team,teams;teamed;teaming
build,built;building;builds
century,centuries
section,sections;sectioned
south,souths
activity,activities
staff,staffed;staffs;staves;staffing
understand,understood;understanding;understands
english,englishes
rise,rose;rising;rises;risen
sound,sounds;sounded;sounding;sounder;soundest
trade,trades;trading;traded
read,reading;reads
break,broke;broken;breaking;breaks
involve,involved;involving;involves
test,tests;tested;testing
building,buildings
international,internationals
rule,rules;ruled;ruling
table,tables;tabled;tabling
death,deaths
near,nearest;nearer;nearing;neared;nears
standard,standards
answer,answered;answers;answering
student,students
spend,spent;spending;spends
special,specials
date,dates;dated;dating
language,languages
union,unions
pass,passed;passing;passes
town,towns
management,managements
free,freed;freeing;freer;frees;freest
department,departments
demand,demands;demanded;demanding
watch,watched;watching;watches
short,shorter;shortest;shorts
product,products
ground,grounds;grounded;grounding
committee,committees
stage,stages;staged;staging
practice,practices;practicing;practiced
front,fronts;fronted;fronting
die,died;dying;dies
project,projects;projected;projecting
evidence,evidenced;evidences;evidencing
create,created;creating;creates
north,norths
lie,lay;lies;lying;lied;lain
human,humans
attempt,attempts;attempted;attempting
meeting,meetings
visit,visited;visits;visiting
west,wests
sell,sold;selling;sells
letter,letters;lettered
european,europeans
field,fields;fielding;fielded
morning,mornings
food,foods
role,roles
game,games
event,events
boy,boys
foot,feet;footing;footed;foots
art,arts
thus,thuss
teacher,teachers
arm,arms;armed;arming
wait,waiting;waited;waits
club,clubs;clubbed;clubbing
material,materials
award,awarded;awards;awarding
shall,sha
drive,driving;drove;driven;drives
mark,marked;marks;marking
firm,firms;firmer;firmed;firmest;firming
accept,accepted;accepting;accepts
easy,easier;easiest
history,histories
parent,parents
tax,taxes;taxed;taxing
manager,managers
amount,amounts;amounted;amounting
stay,stayed;staying;stays;staid
situation,situations
benefit,benefits;benefited;benefiting;benefitted;benefitting
single,singles;singled;singling
strong,stronger;strongest
sign,signed;signs;signing
wish,wished;wishes;wishing
apply,applied;applies;applying
central,centrals
raise,raised;raising;raises
model,models;modelled;modelling
pound,pounds;pounding;pounded
complete,completed;completing;completes
university,universities
difference,differences
miss,missed;missing;misses
american,americans
mrs,mrss
learn,learned;learning;learnt;learns
step,steps;stepped;stepping
structure,structures;structured;structuring
bear,born;bearing;bears;borne;bore
quality,qualities
air,aired;airs;airing
explain,explained;explains;explaining
relationship,relationships
relation,relations
sir,sirs
total,totalling;totalled;totals
grow,grew;grown;growing;grows
window,windows
board,boards;boarded;boarding
detail,details;detailed;detailing
wife,wives
rest,rested;resting;rests
worker,workers
data,datum
list,lists;listed;listing
unit,units
nature,natures
necessary,necessaries
true,truer;truest;trues;truing;trued
method,methods
story,stories
contain,contained;contains;containing
hospital,hospitals
officer,officers
reduce,reduced;reducing;reduces
private,privates
accord,according;accorded;accords
movement,movements
measure,measures;measured;measuring
march,marched;marches;marching
contract,contracts;contracted;contracting
establish,established;establishing;establishes
computer,computers
fire,fired;fires;firing
east,easts
king,kings
scheme,schemes;scheming;schemed
press,pressed;pressing;presses
plant,plants;planted;planting
feature,features;featured;featuring
former,formers
president,presidents
wall,walls;walled;walling
join,joined;joining;joins
wide,wider;widest;wides
bed,beds;bedded;bedding
fine,finest;fined;fines;finer;fining
french,frenches
supply,supplied;supplies;supplying
bill,bills;billed;billing
picture,pictures;pictured;picturing
achieve,achieved;achieving;achieves
seek,sought;seeking;seeks
property,properties
smile,smiled;smiling;smiles
chapter,chapters
shop,shops;shopping;shopped
director,directors
colour,colours;coloured;colouring
choose,chosen;chose;choosing;chooses
theory,theories
leader,leaders
attack,attacks;attacked;attacking
final,finals
application,applications
secretary,secretaries
production,productions
son,sons
poor,poorer;poorest
operation,operations
agreement,agreements
site,sites;sited;siting
opportunity,opportunities
fail,failed;failing;fails
direct,directed;directing;directs
chance,chances;chanced;chancing
recent,recents
official,officials
wrong,wrongs;wronging;wronged
serve,served;serving;serves
simple,simplest;simpler
security,securities
source,sources;sourced;sourcing
election,elections
occur,occurred;occurs;occurring
represent,represented;represents;representing
loss,losses
green,greens;greener;greenest
following,followings
animal,animals
david,davids
influence,influenced;influences;influencing
aim,aims;aimed;aiming
red,reds;redder;reddest
forward,forwarded;forwards;forwarding
notice,noticed;notices;noticing
purpose,purposes;purposing;purposed
kill,killed;killing;kills
current,currents
catch,caught;catching;catches
royal,royals
factor,factors
wear,wearing;wore;worn;wears
music,musics
concern,concerns;concerned;concerning
heart,hearts
risk,risks;risked;risking
grant,granted;grants;granting
pattern,patterns;patterning;patterned
discuss,discussed;discussing;discusses
doubt,doubts;doubted;doubting
pick,picked;picking;picks
april,aprils
couple,couples;coupled;coupling
link,links;linked;linking
argue,argued;argues;arguing
regard,regarded;regards;regarding
evening,evenings
page,pages;paging;paged
prove,proved;proving;proves;proven
key,keys;keyed;keying
doctor,doctors;doctoring;doctored
performance,performances
pressure,pressures;pressured;pressuring
population,populations
june,junes
response,responses
appeal,appeals;appealed;appealing
fear,fears;feared;fearing
function,functions;functioning;functioned
size,sizes;sized;sizing
piece,pieces;piecing;pieced
knowledge,knowledges;knowledge
please,pleased;pleases;pleasing
environment,environments
garden,gardens;gardening
despite,despites
film,films;filming;filmed
space,spaces;spaced;spacing
introduce,introduced;introducing;introduces
fund,funds;funded;funding
enjoy,enjoyed;enjoying;enjoys
success,successes
analysis,analyses
tree,trees
hair,hairs
station,stations;stationed;stationing
contact,contacts;contacted;contacting
ensure,ensuring;ensured;ensures
capital,capitals
region,regions
train,trained;trains;training
match,matches;matched;matching
park,parks;parked;parking
enter,entered;entering;enters
statement,statements
association,associations
village,villages
eat,eating;ate;eaten;eats
principle,principles
inside,insides
wonder,wondered;wondering;wonders
player,players
per,pers
express,expressed;expressing;expresses
drink,drinks;drinking;drank;drunk
fight,fighting;fought;fights
attention,attentions
refer,referred;refers;referring
arrive,arrived;arriving;arrives
choice,choices;choicer;choicest
pull,pulled;pulling;pulls
dark,darker;darkest
machine,machines;machined;machining
income,incomes
fit,fitted;fits;fitting;fitter;fittest
hotel,hotels
sea,seas
thought,thoughts
cup,cups;cupped;cupping
affect,affected;affecting;affects
relate,related;relating;relates
finish,finished;finishing;finishes
professional,professionals
technology,technologies
german,germans
lack,lacking;lacked;lacks
nice,nicer;nicest
damage,damages;damaged;damaging
resource,resources;resourced;resourcing
identify,identified;identifying;identifies
effort,efforts
cell,cells
vote,votes;voted;voting
review,reviewed;reviews;reviewing
treatment,treatments
difficulty,difficulties
energy,energies
drop,dropped;drops;dropping
release,released;releases;releasing
modern,moderns
male,males
county,counties
growth,growths
degree,degrees
provision,provisions;provisioning;provisioned
compare,compared;comparing;compares
defence,defences
limit,limited;limits;limiting
manage,managed;managing;manages
style,styles;styled;styling
behaviour,behaviours
exercise,exercises;exercised;exercising
mile,miles
obtain,obtained;obtaining;obtains
hall,halls;halling
task,tasks;tasked
college,colleges
middle,middles
commission,commissioned;commissions;commissioning
means,meanss
thank,thanked;thanking;thanks
science,sciences
announce,announced;announcing;announces
skill,skills;skilled
happy,happier;happiest
user,users
travel,travelling;travelled;travels
race,racing;races;raced
lady,ladies
investment,investments
peter,peters;petered;petering
respect,respects;respected;respecting
trust,trusts;trusted;trusting
save,saved;saving;saves
character,characters
dog,dogs;dogged;dogging
economy,economies
prime,primed;priming;primes
horse,horses;horsing;horsed
depend,depends;depending;depended
gain,gained;gains;gaining
mention,mentioned;mentions;mentioning
treat,treated;treating;treats
maintain,maintained;maintaining;maintains
normal,normals
check,checked;checking;checks
cold,colder;colds;coldest
cross,crossed;crossing;crosses;crosser;crossest
touch,touched;touching;touches
army,armies
feeling,feelings
worth,worths
season,seasons;seasoning;seasoned
post,posts;posted;posting
indicate,indicated;indicates;indicating
floor,floors;floored;flooring
publish,published;publishing;publishes
chief,chiefs
title,titles;titled
strike,struck;strikes;striking;stricken
argument,arguments
suffer,suffered;suffering;suffers
ring,rang;rings;ringing;rung
responsibility,responsibilities
comment,comments;commented;commenting
brother,brothers;brethren
chairman,chairmen
hit,hits;hitting
judge,judges;judged;judging
deep,deeper;deepest;deeps
element,elements
july,julies
profit,profits;profited;profiting
forget,forgotten;forgot;forgetting;forgets
avoid,avoided;avoiding;avoids
separate,separated;separating;separates
determine,determined;determining;determines
address,addressed;addresses;addressing
soviet,soviets
campaign,campaigns;campaigning;campaigned
husband,husbands;husbanding;husbanded
appropriate,appropriated;appropriates;appropriating
glass,glasses
anyway,anyways
duty,duties
tend,tended;tends;tending
suppose,supposed;supposing;supposes
discussion,discussions
aspect,aspects
object,objects;objected;objecting
transfer,transferred;transfers;transferring
seat,seats;seated;seating
original,originals
fish,fished;fishing;fishes
basic,basics
access,accessed;accessing;accesses
box,boxes;boxed;boxing
customer,customers
institution,institutions
specific,specifics
military,militaries
summer,summers
remove,removed;removing;removes
throw,thrown;threw;throwing;throws
fast,faster;fastest;fasting;fasted;fasts
blue,blues;bluer;bluest;blueing;blued
paul,pauls
potential,potentials
daughter,daughters
sun,suns;sunning;sunned
exist,exists;existed;existing
leg,legs;legging;legged
encourage,encouraged;encourages;encouraging
conference,conferences
division,divisions
stone,stones;stoned;stoning
river,rivers
reflect,reflected;reflects;reflecting
listen,listening;listened;listens
procedure,procedures
proposal,proposals
survey,surveys;surveyed;surveying
oil,oils;oiled;oiling
independent,independents
exchange,exchanges;exchanged;exchanging
baby,babies
sector,sectors
star,stars;starring;starred
assume,assumed;assuming;assumes
aid,aids;aided;aiding
improve,improved;improving;improves
image,images;imaging;imaged
admit,admitted;admits;admitting
display,displayed;displays;displaying
replace,replaced;replacing;replaces
lay,laid;laying;lays
northern,northerns
circumstance,circumstances
prepare,prepared;preparing;prepares
laugh,laughed;laughing;laughs
sorry,sorrier;sorriest
speaker,speakers
client,clients
average,averaged;averages;averaging
instance,instances;instanced
balance,balanced;balances;balancing
disease,diseases
employment,employments
direction,directions
fill,filled;filling;fills
addition,additions
goal,goals
attitude,attitudes
surface,surfaces;surfaced;surfacing
bar,bars;barred;barring
push,pushed;pushing;pushes
refuse,refused;refusing;refuses
intend,intended;intends;intending
october,octobers
trouble,troubles;troubled;troubling
search,searching;searched;searches
holiday,holidays;holidaying;holidayed
technique,techniques
working,workings
document,documents;documented;documenting
version,versions
pupil,pupils
prevent,prevented;preventing;prevents
target,targets;targeted;targeting;targetted;targetting
item,items
popular,populars
affair,affairs
wind,winds;wound;winding;winded
ability,abilities
copy,copies;copied;copying
reference,references;referenced;referencing
drug,drugs;drugged;drugging
september,septembers
reply,replied;replies;replying
fly,flew;flying;flies;flown;flied
discover,discovered;discovering;discovers
alternative,alternatives
heavy,heavier;heaviest;heavies
except,excepted;excepting;excepts
library,libraries
culture,cultures;cultured;culturing
rock,rocks;rocked;rocking
teach,taught;teaching;teaches
stock,stocks;stocked;stocking
operate,operating;operated;operates
advantage,advantages;advantaged
reveal,revealed;reveals;revealing
variety,varieties
january,januaries
ready,readies;readying;readied;readier
flat,flats;flatter;flattest
challenge,challenged;challenges;challenging
sleep,slept;sleeping;sleeps
competition,competitions
parliament,parliaments
chair,chairs;chaired;chairing
shape,shapes;shaped;shaping
majority,majorities
enable,enables;enabled;enabling
james,jamess
extent,extents
complex,complexes;complexed
memory,memories
television,televisions
payment,payments
file,files;filed;filing
sunday,sundays
blood,bloods;blooded;blooding
western,westerns
female,females
extra,extras
sentence,sentences;sentenced;sentencing
facility,facilities
straight,straighter;straights;straightest
double,doubled;doubles;doubling
context,contexts
dress,dressed;dressing;dresses
budget,budgets;budgeted;budgeting
edge,edges;edged;edging
district,districts
finance,financed;finances;financing
ireland,irelands
importance,importances
planning,plannings
extend,extended;extending;extends
phone,phoned;phones;phoning
fair,fairs;fairer;fairest
associate,associated;associates;associating
collection,collections
communication,communications
article,articles;articled
mouth,mouths;mouthed;mouthing
agency,agencies
primary,primaries
arise,arising;arises;arose;arisen
transport,transported;transporting;transports
bird,birds
card,cards;carded;carding
weight,weights;weighted;weighting
speed,speeds;speeding;sped;speeded
text,texts
realise,realised;realising;realises
promise,promised;promises;promising
possibility,possibilities
conservative,conservatives
progress,progressed;progressing;progresses
debate,debates;debated;debating
score,scored;scores;scoring
define,defined;defining;defines
beat,beaten;beating;beats
lift,lifted;lifting;lifts
career,careers;careered;careering
focus,focused;focusing;focuses;focussed;foci;focussing
december,decembers
solution,solutions
november,novembers
executive,executives
scale,scales;scaled;scaling
organization,organizations
earth,earthed;earths;earthing
examine,examined;examining;examines
hill,hills
welcome,welcomed;welcomes;welcoming
medical,medicals
wales,waless
network,networks;networking;networked
requirement,requirements
sport,sports;sporting;sported
quarter,quarters;quartered;quartering
occasion,occasions;occasioned;occasioning
opposition,oppositions
hot,hotter;hottest;hotting;hots;hotted
option,options
band,bands;banded;banding
telephone,telephoned;telephones;telephoning
opinion,opinions
railway,railways
forest,forests
sister,sisters
content,contents;contented;contenting
favour,favoured;favours;favouring
island,islands
radio,radios;radioing;radioed
dear,dearest;dearer;dears
none,nones
concept,concepts
store,stores;stored;storing
essential,essentials
attend,attended;attending;attends
reform,reforms;reformed;reforming
charles,charless
partner,partners;partnered;partnering
arrangement,arrangements
objective,objectives
tomorrow,tomorrows
employee,employees
ball,balls;balled;balling
waste,wasted;wasting;wastes
sex,sexes;sexing;sexed
equipment,equipments;equipment
farm,farms;farmed;farming
clean,cleaning;cleaned;cleaner;cleans;cleanest
hang,hung;hanging;hangs;hanged
shake,shook;shaking;shaken;shakes
interview,interviews;interviewed;interviewing
oxford,oxfords
strategy,strategies
length,lengths
failure,failures
branch,branches;branched;branching
perform,performed;performing;performs
corner,corners;cornered;cornering
reader,readers
speech,speeches
owner,owners
cash,cashed;cashing;cashes
wood,woods
brown,browns;browned;browner;browning;brownest
finger,fingers;fingered;fingering
peace,peaces
master,masters;mastered;mastering
crime,crimes
scene,scenes
estimate,estimated;estimates;estimating
message,messages;messaging
credit,credits;credited;crediting
adopt,adopted;adopting;adopts
launch,launched;launching;launches
dream,dreams;dreamed;dreaming;dreamt
saturday,saturdays
mum,mums
mass,masses;massed;massing
expression,expressions
protect,protected;protecting;protects
confirm,confirmed;confirms;confirming
shoulder,shoulders;shouldered;shouldering
afternoon,afternoons
marriage,marriages
trial,trials;trialled
league,leagues
nation,nations
senior,seniors
track,tracks;tracked;tracking
stress,stressed;stresses;stressing
positive,positives
truth,truths
relative,relatives
christian,christians
february,februaries
adult,adults
square,squares;squared;squaring
accident,accidents
stick,stuck;sticks;sticking
ship,ships;shipping;shipped
commercial,commercials
warm,warmer;warmed;warming;warmest;warms
newspaper,newspapers
tea,teas
spirit,spirits;spirited;spiriting
pair,pairs;paired;pairing
kitchen,kitchens
wave,waves;waved;waving
annual,annuals
advance,advanced;advances;advancing
mine,mines;mining;mined
block,blocks;blocked;blocking
gas,gases;gassing;gasses;gassed
slow,slower;slowed;slowing;slows;slowest
contribution,contributions
dry,dried;drying;dries;drier;driest;dryer
museum,museums
proportion,proportions;proportioned
tour,tours;touring;toured
feed,fed;feeding;feeds
best,bests;bested;besting
pain,pains;pained;paining
strength,strengths
justice,justices
stare,stared;staring;stares
living,livings
protection,protections
shoot,shot;shooting;shoots
agent,agents
conduct,conducted;conducting;conducts
imagine,imagined;imagining;imagines
count,counts;counted;counting
sample,samples;sampled;sampling
august,augusts
smith,smiths
overall,overalls
queen,queens
battle,battles;battling;battled
struggle,struggling;struggled;struggles
representative,representatives
joint,joints;jointed;jointing
candidate,candidates
meaning,meanings
contrast,contrasts;contrasted;contrasting
presence,presences
safe,safer;safest;safes
employ,employed;employing;employs
cry,cried;crying;cries
rich,richer;richest;riches
spring,springs;sprang;sprung;springing
murder,murdered;murders;murdering
flow,flows;flowing;flowed
plus,pluses
regional,regionals
assessment,assessments
artist,artists
distance,distances;distanced;distancing
guide,guides;guided;guiding
suit,suits;suited;suiting
collect,collected;collecting;collects
regular,regulars
pretty,prettiest;prettier
consequence,consequences
africa,africas
marry,married;marrying;marries
stuff,stuffed;stuffing;stuffs
consideration,considerations
driver,drivers
flower,flowers;flowering;flowered
video,videos;videoing;videoed
request,requested;requests;requesting
impact,impacts;impacted;impacting
worry,worries;worried;worrying
practical,practicals
latter,latters
understanding,understandings
bottom,bottoms;bottoming;bottomed
gold,golds;golding
correct,corrected;correcting;corrects
beginning,beginnings
daily,dailies
appoint,appointed;appointing;appoints
winter,winters;wintering;wintered
emerge,emerged;emerging;emerges
net,nets;netted;netting
spot,spots;spotted;spotting
route,routes;routing;routed
skin,skins;skinned;skinning
deny,denied;denying;denies;denys
package,packages;packaged;packaging
rain,raining;rains;rained
spread,spreading;spreads
reaction,reactions
equal,equals;equalled;equalling
expert,experts
belief,beliefs
conflict,conflicts;conflicted;conflicting
danger,dangers
sight,sights;sighted;sighting
decline,declined;declining;declines
conclusion,conclusions
purchase,purchased;purchases;purchasing
secure,secured;securing;secures
observe,observed;observing;observes
politics,politicss
bridge,bridges;bridged;bridging
bag,bags;bagged;bagging
estate,estates
handle,handled;handling;handles
propose,proposed;proposing;proposes
path,paths
farmer,farmers
boat,boats;boating
debt,debts
hole,holes;holed;holing
escape,escaped;escaping;escapes
active,actives
employer,employers
vehicle,vehicles
reality,realities
settle,settled;settling;settles
repeat,repeated;repeating;repeats
row,rows;rowed;rowing
weekend,weekends
wine,wines;wined;wining
writer,writers
tear,tears;torn;tore;tearing
injury,injuries
respond,responded;responding;responds
wage,wages;waged;waging
insurance,insurances
tie,tied;ties;tying
ignore,ignored;ignoring;ignores
connection,connections
blow,blew;blown;blowing;blows;blowed
prison,prisons
survive,survived;survives;surviving
desire,desires;desired;desiring
colleague,colleagues
concentrate,concentrated;concentrating;concentrates
somebody,somebodies
ride,riding;rode;rides;ridden
dance,dancing;danced;dances
arrange,arranged;arranging;arranges
legislation,legislations
confidence,confidences
commitment,commitments
painting,paintings
generation,generations
clothes,clothess
initial,initials;initialled;initialling
shift,shifted;shifts;shifting
sum,sums;summed;summing
select,selected;selecting;selects
volume,volumes
threat,threats
roll,rolled;rolling;rolls
bloody,bloodiest;bloodied;bloodies;bloodying;bloodier
introduction,introductions
entry,entries
domestic,domestics
visitor,visitors
secret,secrets
code,codes;coded;coding
author,authors;authoring;authored
kingdom,kingdoms
impossible,impossibles
song,songs
discipline,disciplines;disciplined;disciplining
ordinary,ordinaries
administration,administrations
background,backgrounds
actual,actuals
paint,painted;paints;painting
cabinet,cabinets
regulation,regulations
characteristic,characteristics
fresh,fresher;freshest
technical,technicals
thomas,thomass
investigation,investigations
bus,buses;busses;bussing;bussed
loan,loans;loaned;loaning
engine,engines;engined
henry,henries
internal,internals
acquire,acquired;acquiring;acquires
demonstrate,demonstrated;demonstrates;demonstrating
football,footballs
victim,victims
exhibition,exhibitions
cheap,cheaper;cheapest
screen,screens;screened;screening
dad,dads
consumer,consumers
category,categories
strange,stranger;strangest
yard,yards
broad,broader;broadest;broads
reading,readings
print,printed;prints;printing
prefer,preferred;preferring;prefers
chemical,chemicals
tape,tapes;taped;taping
construction,constructions
commit,committed;committing;commits
tradition,traditions
russian,russians
threaten,threatened;threatening;threatens
manner,manners
relief,reliefs
housing,housings
tonight,tonights
experiment,experiments;experimenting;experimented
improvement,improvements
quick,quicker;quickest
heat,heated;heats;heating
channel,channels;channelled;channelling
distribution,distributions
promote,promoted;promoting;promotes
description,descriptions
divide,divided;dividing;divides
session,sessions
insist,insisted;insists;insisting
bind,bound;binding;binds
existence,existences
rose,roses
meal,meals
quiet,quieter;quietest;quieted;quiets;quieting
prince,princes
religious,religiouss
liberal,liberals
retain,retained;retaining;retains
appearance,appearances
gentleman,gentlemen
output,outputs;outputting;output
crisis,crises
sheet,sheets;sheeted;sheeting
unemployment,unemployments
reject,rejected;rejecting;rejects
pension,pensions;pensioned;pensioning
coffee,coffees
audience,audiences
switch,switched;switches;switching
asset,assets
assess,assessed;assessing;assesses
consist,consists;consisted;consisting
soft,softer;softest
photograph,photographs;photographed;photographing
nurse,nurses;nursing;nursed
formal,formals
deliver,delivered;delivering;delivers
plate,plates;plated;plating
pack,packed;packs;packing
mountain,mountains
hide,hidden;hiding;hid;hides
ideal,ideals
theatre,theatres
attract,attracted;attracting;attracts
roman,romans
protest,protests;protested;protesting
freedom,freedoms
contribute,contributed;contributing;contributes
narrow,narrowed;narrower;narrowing;narrows;narrowest
dinner,dinners
vary,varied;varies;varying
writing,writings
magazine,magazines
explanation,explanations
mistake,mistakes;mistaken;mistaking;mistook
flight,flights
trip,trips;tripped;tripping
arrest,arrested;arrests;arresting
institute,institutes;instituted;instituting
selection,selections
impose,imposed;imposing;imposes
map,maps;mapped;mapping
youth,youths
capacity,capacities
examination,examinations
shout,shouted;shouting;shouts
conversation,conversations
belong,belonged;belonging;belongs
lovely,loveliest;lovelier;lovelies
victory,victories
surprise,surprised;surprises;surprising
aircraft,aircrafts
invite,invited;inviting;invites
brief,briefed;briefing;briefs;briefest;briefer
reduction,reductions
intention,intentions
decade,decades
recall,recalled;recalls;recalling
glance,glanced;glancing;glances
lip,lips;lipped
definition,definitions
x,xes
empty,emptied;emptying;empties;emptier;emptiest
crowd,crowds;crowded;crowding
load,loads;loaded;loading;laden
program,programs;programming;programmed
lock,locked;locks;locking
declare,declared;declaring;declares
