Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized
acidly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acidophilic,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acidosis,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acinar,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acinus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acknowledge,B2,3000.0,9.0,general,N,N,N,N,A2,A2,2,True
acknowledgement,NN,0.0,9.0,general,N,N,N,N,B2,B2,0,True
acknowledgment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,True
acme,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acne,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
acolyte,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
aconite,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True
acorn,NN,0.0,2.0,science,N,Y,N,N,C1,C1,1,True
acoustic,NN,0.0,0.0,NN,N,Y,N,N,B1,B2,0,True
acoustical,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acoustically,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False
acquaint,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1,True
acquaintance,NN,0.0,0.0,NN,N,Y,N,N,B1,B2,1,True
acquaintanceship,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acquiesce,NN,0.0,9.0,social_studies,N,N,N,N,C1,C2,0,True
acquiescence,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True
acquiescent,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acquire,B2,3000.0,6.0,general,Y,N,N,N,A2,A3,2,True
acquiree,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acquirer,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True
acquisition,C1,5000.0,0.0,NN,N,N,N,N,A3,A3,1,True
acquisitive,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
acquisitiveness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acquit,NN,0.0,9.0,social_studies,N,N,N,N,B2,B2,1,True
acquittal,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
acre,B2,5000.0,5.0,math,N,Y,N,Y,B1,B1,2,True
acreage,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
acrid,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,False
acrimonious,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False
acrimony,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
acrobat,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
acrobatic,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
acronym,NN,0.0,9.0,general,N,Y,N,N,B3,B3,0,True
acropolis,NN,0.0,6.0,social_studies,N,N,N,N,C3,NN,0,True
acrosome,NN,0.0,0.0,NN,N,N,N,N,C1,NN,0,True
across,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,False
acrylamide,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acrylic,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
act,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
actin,NN,0.0,9.0,science,N,N,N,N,C3,NN,0,True
actinic,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,False
actinide,NN,0.0,9.0,science,N,N,N,N,NN,NN,0,True
actinomycin,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
action,A1,3000.0,0.0,NN,N,N,N,N,A1,A1,2,True
actionable,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False
activate,B2,5000.0,6.0,science,N,N,Y,N,A4,A4,0,True
activation,C1,5000.0,6.0,science,N,N,N,N,B1,B3,0,True
activator,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True
active,A2,3000.0,3.0,general,Y,N,N,N,A2,A2,2,True
actively,NN,0.0,0.0,NN,N,Y,Y,Y,A4,A4,1,False
activeness,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True
activism,NN,0.0,9.0,social_studies,N,N,N,N,B3,B2,0,True
activist,C1,5000.0,6.0,social_studies,N,Y,N,Y,B1,A4,0,True
activity,A1,3000.0,1.0,general,N,N,N,N,A1,A1,2,True
actor,A1,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True
actress,A1,3000.0,0.0,NN,N,Y,Y,N,A4,B1,2,True
actual,B2,3000.0,4.0,general,Y,N,N,N,A2,A2,2,True
actuality,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
actualization,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
actualize,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
actually,A2,3000.0,0.0,NN,N,N,N,N,A1,A1,2,False
actuarial,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False
actuary,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
actuate,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
actuator,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True
acuity,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
acumen,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
acupuncture,NN,0.0,6.0,social_studies,N,Y,N,N,C1,C1,0,True
acute,C1,5000.0,4.0,general,N,Y,N,N,A4,A4,1,True
acutely,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0,False
acuteness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acyclic,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
acyclovir,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
acyl,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
ad,B1,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True
adage,NN,0.0,9.0,general,N,N,N,N,C1,B3,0,True
adamant,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0,True
adamantine,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
adamantly,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False
adams,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True
adapt,B2,3000.0,2.0,science,Y,N,N,N,A3,A3,2,True
adaptability,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
adaptable,NN,0.0,0.0,NN,N,Y,N,N,C1,C1,0,False
adaptation,C1,5000.0,3.0,general,N,Y,N,N,A4,A4,1,True
adaptational,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
adapter,NN,0.0,0.0,NN,N,N,Y,N,C1,C1,0,True
adaption,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True
adaptive,NN,0.0,9.0,science,N,N,N,N,A4,A4,0,False
adaptively,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
adaptor,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
add,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
addend,NN,0.0,2.0,math,N,N,N,N,NN,NN,0,True
addendum,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
adder,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
addict,NN,0.0,0.0,NN,N,N,N,N,B1,B1,0,True
addiction,B2,5000.0,0.0,NN,N,N,N,N,B1,B1,0,True
addictive,NN,0.0,0.0,NN,N,N,N,N,B2,B2,0,False
addition,B1,3000.0,1.0,general,N,N,N,N,A1,A2,2,True
additional,B2,3000.0,5.0,general,N,N,N,N,A2,A2,2,False
additionally,B2,5000.0,9.0,general,N,Y,Y,N,B1,B3,0,False
additive,NN,0.0,0.0,NN,N,Y,N,N,B2,B3,0,True
addle,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
address,A1,3000.0,0.0,NN,N,N,N,N,A1,A1,2,True
addressee,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
adduce,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,True
adduct,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
adduction,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
ade,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
adelgid,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True
adenine,NN,0.0,9.0,science,N,N,N,N,C4,NN,0,True
adenocarcinoma,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
adenoid,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True
adenoidectomy,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
adenoma,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
adenomatous,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
adenosine,NN,0.0,9.0,science,N,N,N,N,C3,NN,0,True
adenovirus,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
adept,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True
adequacy,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
adequate,B2,5000.0,6.0,general,N,N,N,N,A3,A3,2,False
adequately,B2,5000.0,9.0,general,N,Y,N,Y,B1,B1,2,False
adhere,C1,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1,True
adherence,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True
adherent,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True
adhesion,NN,0.0,9.0,science,N,N,N,N,C1,C2,0,True
