Word,compound_lemmas
a-bit,abit;abits;a bit;a bits
be-a-joke,beajoke;beajokes;be a joke;be a jokes
be-a-pain,beapain;beapains;be a pain;be a pains
be-a-pain-in-the-neck,beapainintheneck;beapaininthenecks;be a pain in the neck;be a pain in the necks
be-a-piece-of-cake,beapieceofcake;beapieceofcakes;be a piece of cake;be a piece of cakes
be-a-question-of,beaquestionof;beaquestionofs;be a question of;be a question ofs
be-a-rarity,beararity;beararitys;be a rarity;be a raritys
be-a-revelation,bearevelation;bearevelations;be a revelation;be a revelations
be-all-set,beallset;beallsets;be all set;be all sets
be-all-very-well,beallverywell;beallverywells;be all very well;be all very wells
be-around,bearound;bearounds;be around;be arounds
be-at-a-premium,beatapremium;beatapremiums;be at a premium;be at a premiums
be-at-stake,beatstake;beatstakes;be at stake;be at stakes
be-born,beborn;beborns;be born;be borns
be-called-up,becalledup;becalledups;be called up;be called ups
be-coming-along,becomingalong;becomingalongs;be coming along;be coming alongs
be-coming-up,becomingup;becomingups;be coming up;be coming ups
be-down-in-the-dumps,bedowninthedumps;bedowninthedumpss;be down in the dumps;be down in the dumpss
be-found,befound;befounds;be found;be founds
be-full-of-yourself,befullofyourself;befullofyourselfs;be full of yourself;be full of yourselfs
be-good-company,begoodcompany;begoodcompanys;be good company;be good companys
be-in-a-dream,beinadream;beinadreams;be in a dream;be in a dreams
be-in-a-mood,beinamood;beinamoods;be in a mood;be in a moods
be-in-charge,beincharge;beincharges;be in charge;be in charges
be-in-doubt,beindoubt;beindoubts;be in doubt;be in doubts
be-in-good-taste,beingoodtaste;beingoodtastes;be in good taste;be in good tastes
be-in-luck,beinluck;beinlucks;be in luck;be in lucks
be-in-position,beinposition;beinpositions;be in position;be in positions
be-in-the-cards,beinthecards;beinthecardss;be in the cards;be in the cardss
be-in-the-public-eye,beinthepubliceye;beinthepubliceyes;be in the public eye;be in the public eyes
be-in-the-same-boat,beinthesameboat;beinthesameboats;be in the same boat;be in the same boats
be-intended-for,beintendedfor;beintendedfors;be intended for;be intended fors
be-lacking,belacking;belackings;be lacking;be lackings
be-lost-for-words,belostforwords;belostforwordss;be lost for words;be lost for wordss
be-misunderstood,bemisunderstood;bemisunderstoods;be misunderstood;be misunderstoods
be-no-laughing-matter,benolaughingmatter;benolaughingmatters;be no laughing matter;be no laughing matters
be-no-mean-feat,benomeanfeat;benomeanfeats;be no mean feat;be no mean feats
be-of-two-minds,beoftwominds;beoftwomindss;be of two minds;be of two mindss
be-on-cloud-nine,beoncloudnine;beoncloudnines;be on cloud nine;be on cloud nines
be-on-edge,beonedge;beonedges;be on edge;be on edges
be-on-the-ball,beontheball;beontheballs;be on the ball;be on the balls
be-on-the-same-wavelength,beonthesamewavelength;beonthesamewavelengths;be on the same wavelength;be on the same wavelengths
be-only-human,beonlyhuman;beonlyhumans;be only human;be only humans
be-out-of-breath,beoutofbreath;beoutofbreaths;be out of breath;be out of breaths
be-out-of-practice,beoutofpractice;beoutofpractices;be out of practice;be out of practices
be-out-of-the-question,beoutofthequestion;beoutofthequestions;be out of the question;be out of the questions
be-out-of-this-world,beoutofthisworld;beoutofthisworlds;be out of this world;be out of this worlds
be-out-of-touch,beoutoftouch;beoutoftouchs;be out of touch;be out of touchs
be-poles-apart,bepolesapart;bepolesaparts;be poles apart;be poles aparts
be-populated,bepopulated;bepopulateds;be populated;be populateds
be-said-to-be,besaidtobe;besaidtobes;be said to be;be said to bes
be-satisfied-that,besatisfiedthat;besatisfiedthats;be satisfied that;be satisfied thats
be-seated,beseated;beseateds;be seated;be seateds
be-snowed-in,besnowedin;besnowedins;be snowed in;be snowed ins
be-snowed-under,besnowedunder;besnowedunders;be snowed under;be snowed unders
be-something,besomething;besomethings;be something;be somethings
be-still-going-strong,bestillgoingstrong;bestillgoingstrongs;be still going strong;be still going strongs
be-sure-of-yourself,besureofyourself;besureofyourselfs;be sure of yourself;be sure of yourselfs
be-taken-in,betakenin;betakenins;be taken in;be taken ins
be-tempted,betempted;betempteds;be tempted;be tempteds
be-the-case,bethecase;bethecases;be the case;be the cases
be-the-center-of-attention,bethecenterofattention;bethecenterofattentions;be the center of attention;be the center of attentions
be-the-tip-of-the-iceberg,bethetipoftheiceberg;bethetipoftheicebergs;be the tip of the iceberg;be the tip of the icebergs
be-to-blame,betoblame;betoblames;be to blame;be to blames
be-trapped,betrapped;betrappeds;be trapped;be trappeds
be-under-the-impression,beundertheimpression;beundertheimpressions;be under the impression;be under the impressions
be-under-way,beunderway;beunderways;be under way;be under ways
be-wide-awake,bewideawake;bewideawakes;be wide awake;be wide awakes
be-worth,beworth;beworths;be worth;be worths
be-worth-it,beworthit;beworthits;be worth it;be worth its
be-worth-your-while,beworthyourwhile;beworthyourwhiles;be worth your while;be worth your whiles
be-wrong,bewrong;bewrongs;be wrong;be wrongs
bear-fruit,bearfruit;bearfruits;bear fruit;bear fruits
beat-around-the-bush,beataroundthebush;beataroundthebushs;beat around the bush;beat around the bushs
because-of,becauseof;becauseofs;because of;because ofs
become-a-reality,becomeareality;becomearealitys;become a reality;become a realitys
before-you-know-it,beforeyouknowit;beforeyouknowits;before you know it;before you know its
behind-bars,behindbars;behindbarss;behind bars;behind barss
behind-closed-doors,behindcloseddoors;behindcloseddoorss;behind closed doors;behind closed doorss
behind-the-scenes,behindthescenes;behindthesceness;behind the scenes;behind the sceness
behind-the-times,behindthetimes;behindthetimess;behind the times;behind the timess
believe-it-or-not,believeitornot;believeitornots;believe it or not;believe it or nots
bend-over-backwards,bendoverbackwards;bendoverbackwardss;bend over backwards;bend over backwardss
beside-the-point,besidethepoint;besidethepoints;beside the point;beside the points
beside-yourself,besideyourself;besideyourselfs;beside yourself;beside yourselfs
best-wishes,bestwishes;bestwishess;best wishes;best wishess
better-still,betterstill;betterstills;better still;better stills
beyond-your-wildest-dreams,beyondyourwildestdreams;beyondyourwildestdreamss;beyond your wildest dreams;beyond your wildest dreamss
bit-by-bit,bitbybit;bitbybits;bit by bit;bit by bits
bits-and-pieces,bitsandpieces;bitsandpiecess;bits and pieces;bits and piecess
blood-count,bloodcount;bloodcounts;blood count;blood counts
blood-donor,blooddonor;blooddonors;blood donor;blood donors
blood-pressure,bloodpressure;bloodpressures;blood pressure;blood pressures
blow-your-mind,blowyourmind;blowyourminds;blow your mind;blow your minds
blow-your-nose,blowyournose;blowyournoses;blow your nose;blow your noses
board-game,boardgame;boardgames;board game;board games
bounce-back,bounceback;bouncebacks;bounce back;bounce backs
brand-new,brandnew;brandnews;brand new;brand news
break-a-record,breakarecord;breakarecords;break a record;break a records
break-down,breakdown;breakdowns;break down;break downs
break-even,breakeven;breakevens;break even;break evens
break-free,breakfree;breakfrees;break free;break frees
break-in,breakin;breakins;break in;break ins
break-out,breakout;breakouts;break out;break outs
break-the-ice,breaktheice;breaktheices;break the ice;break the ices
break-the-law,breakthelaw;breakthelaws;break the law;break the laws
break-up,breakup;breakups;break up;break ups
bribe-,bribe;bribes;bribe ;bribe s
bring-a-lump-to-your-throat,bringalumptoyourthroat;bringalumptoyourthroats;bring a lump to your throat;bring a lump to your throats
bulletin-board,bulletinboard;bulletinboards;bulletin board;bulletin boards
burn-out,burnout;burnouts;burn out;burn outs
burn-the-midnight-oil,burnthemidnightoil;burnthemidnightoils;burn the midnight oil;burn the midnight oils
burst-into-flames,burstintoflames;burstintoflamess;burst into flames;burst into flamess
burst-into-tears,burstintotears;burstintotearss;burst into tears;burst into tearss
burst-out,burstout;burstouts;burst out;burst outs
bus-station,busstation;busstations;bus station;bus stations
bus-stop,busstop;busstops;bus stop;bus stops
butt-in,buttin;buttins;butt in;butt ins
by-accident,byaccident;byaccidents;by accident;by accidents
by-all-accounts,byallaccounts;byallaccountss;by all accounts;by all accountss
by-all-means,byallmeans;byallmeanss;by all means;by all meanss
by-and-large,byandlarge;byandlarges;by and large;by and larges
by-any-chance,byanychance;byanychances;by any chance;by any chances
by-far,byfar;byfars;by far;by fars
by-hand,byhand;byhands;by hand;by hands
by-heart,byheart;byhearts;by heart;by hearts
by-law,bylaw;bylaws;by law;by laws
by-means-of,bymeansof;bymeansofs;by means of;by means ofs
by-mistake,bymistake;bymistakes;by mistake;by mistakes
by-the-same-token,bythesametoken;bythesametokens;by the same token;by the same tokens
by-the-way,bytheway;bytheways;by the way;by the ways
by-word-of-mouth,bywordofmouth;bywordofmouths;by word of mouth;by word of mouths
c-section,csection;csections;c section;c sections
caesarean-section,caesareansection;caesareansections;caesarean section;caesarean sections
call-a-meeting,callameeting;callameetings;call a meeting;call a meetings
call-in-sick,callinsick;callinsicks;call in sick;call in sicks
call-it-a-day,callitaday;callitadays;call it a day;call it a days
can-afford,canafford;canaffords;can afford;can affords
can-tell,cantell;cantells;can tell;can tells
cannot-afford,cannotafford;cannotaffords;cannot afford;cannot affords
canon-law,canonlaw;canonlaws;canon law;canon laws
capital-letter,capitalletter;capitalletters;capital letter;capital letters
carbon-dioxide,carbondioxide;carbondioxides;carbon dioxide;carbon dioxides
carbon-footprint,carbonfootprint;carbonfootprints;carbon footprint;carbon footprints
carbon-monoxide,carbonmonoxide;carbonmonoxides;carbon monoxide;carbon monoxides
cardiopulmonary-resuscitation,cardiopulmonaryresuscitation;cardiopulmonaryresuscitations;cardiopulmonary resuscitation;cardiopulmonary resuscitations
carry-weight,carryweight;carryweights;carry weight;carry weights
cash-machine,cashmachine;cashmachines;cash machine;cash machines
cast-your-mind-back,castyourmindback;castyourmindbacks;cast your mind back;cast your mind backs
catch-fire,catchfire;catchfires;catch fire;catch fires
catch-on,catchon;catchons;catch on;catch ons
catch-up,catchup;catchups;catch up;catch ups
catch-your-breath,catchyourbreath;catchyourbreaths;catch your breath;catch your breaths
cd-player,cdplayer;cdplayers;cd player;cd players
cell-phone,cellphone;cellphones;cell phone;cell phones
central-heating,centralheating;centralheatings;central heating;central heatings
certainly-not,certainlynot;certainlynots;certainly not;certainly nots
chain-of-custody,chainofcustody;chainofcustodys;chain of custody;chain of custodys
change-the-subject,changethesubject;changethesubjects;change the subject;change the subjects
change-your-mind,changeyourmind;changeyourminds;change your mind;change your minds
check-in,checkin;checkins;check in;check ins
check-out,checkout;checkouts;check out;check outs
chest-of-drawers,chestofdrawers;chestofdrawerss;chest of drawers;chest of drawerss
chewing-gum,chewinggum;chewinggums;chewing gum;chewing gums
chill-out,chillout;chillouts;chill out;chill outs
circumstantial-evidence,circumstantialevidence;circumstantialevidences;circumstantial evidence;circumstantial evidences
class-evidence,classevidence;classevidences;class evidence;class evidences
classical-music,classicalmusic;classicalmusics;classical music;classical musics
clear-the-air,cleartheair;cleartheairs;clear the air;clear the airs
clear-up,clearup;clearups;clear up;clear ups
climate-change,climatechange;climatechanges;climate change;climate changes
close-in,closein;closeins;close in;close ins
coffee-shop,coffeeshop;coffeeshops;coffee shop;coffee shops
come-about,comeabout;comeabouts;come about;come abouts
come-across,comeacross;comeacrosss;come across;come acrosss
come-along,comealong;comealongs;come along;come alongs
come-around,comearound;comearounds;come around;come arounds
come-back,comeback;comebacks;come back;come backs
come-down,comedown;comedowns;come down;come downs
come-first,comefirst;comefirsts;come first;come firsts
come-from-the-heart,comefromtheheart;comefromthehearts;come from the heart;come from the hearts
come-in,comein;comeins;come in;come ins
come-in-handy,comeinhandy;comeinhandys;come in handy;come in handys
come-into-being,comeintobeing;comeintobeings;come into being;come into beings
come-off,comeoff;comeoffs;come off;come offs
come-on,comeon;comeons;come on;come ons
come-out,comeout;comeouts;come out;come outs
come-over,comeover;comeovers;come over;come overs
come-through,comethrough;comethroughs;come through;come throughs
come-to-light,cometolight;cometolights;come to light;come to lights
come-to-mind,cometomind;cometominds;come to mind;come to minds
come-to-think-of-it,cometothinkofit;cometothinkofits;come to think of it;come to think of its
come-true,cometrue;cometrues;come true;come trues
come-under-fire,comeunderfire;comeunderfires;come under fire;come under fires
come-up,comeup;comeups;come up;come ups
common-knowledge,commonknowledge;commonknowledges;common knowledge;common knowledges
common-law,commonlaw;commonlaws;common law;common laws
common-sense,commonsense;commonsenses;common sense;common senses
compare-notes,comparenotes;comparenotess;compare notes;compare notess
conduct-yourself,conductyourself;conductyourselfs;conduct yourself;conduct yourselfs
conventional-wisdom,conventionalwisdom;conventionalwisdoms;conventional wisdom;conventional wisdoms
could-have,couldhave;couldhaves;could have;could haves
count-noun,countnoun;countnouns;count noun;count nouns
course-of-action,courseofaction;courseofactions;course of action;course of actions
court-of-law,courtoflaw;courtoflaws;court of law;court of laws
crack-a-joke,crackajoke;crackajokes;crack a joke;crack a jokes
crack-down,crackdown;crackdowns;crack down;crack downs
crack-up,crackup;crackups;crack up;crack ups
credit-card,creditcard;creditcards;credit card;credit cards
crime-scene,crimescene;crimescenes;crime scene;crime scenes
crime-scene-investigation,crimesceneinvestigation;crimesceneinvestigations;crime scene investigation;crime scene investigations
crime-scene-notification,crimescenenotification;crimescenenotifications;crime scene notification;crime scene notifications
crime-scene-reconstruction,crimescenereconstruction;crimescenereconstructions;crime scene reconstruction;crime scene reconstructions
criminal-,criminal;criminals;criminal ;criminal s
criminal-mischief,criminalmischief;criminalmischiefs;criminal mischief;criminal mischiefs
criminal-record,criminalrecord;criminalrecords;criminal record;criminal records
critical-condition,criticalcondition;criticalconditions;critical condition;critical conditions
cross-contamination-,crosscontamination;crosscontaminations;cross contamination ;cross contamination s
cross-your-mind,crossyourmind;crossyourminds;cross your mind;cross your minds
cry-your-eyes-out,cryyoureyesout;cryyoureyesouts;cry your eyes out;cry your eyes outs
crystal-clear,crystalclear;crystalclears;crystal clear;crystal clears
csi-(crime-scene-investigation),csi(crimesceneinvestigation);csi(crimesceneinvestigation)s;csi (crime scene investigation);csi (crime scene investigation)s
csi-technician,csitechnician;csitechnicians;csi technician;csi technicians
daily-life,dailylife;dailylifes;daily life;daily lifes
date-back,dateback;datebacks;date back;date backs
day-care,daycare;daycares;day care;day cares
dear-madam,dearmadam;dearmadams;dear madam;dear madams
dear-sir,dearsir;dearsirs;dear sir;dear sirs
death-sentence,deathsentence;deathsentences;death sentence;death sentences
debit-card,debitcard;debitcards;debit card;debit cards
deciding-factor,decidingfactor;decidingfactors;deciding factor;deciding factors
decision-making,decisionmaking;decisionmakings;decision making;decision makings
deductive-reasoning,deductivereasoning;deductivereasonings;deductive reasoning;deductive reasonings
deep-down,deepdown;deepdowns;deep down;deep downs
definite-article,definitearticle;definitearticles;definite article;definite articles
definitely-not,definitelynot;definitelynots;definitely not;definitely nots
department-store,departmentstore;departmentstores;department store;department stores
despite-the-fact-that,despitethefactthat;despitethefactthats;despite the fact that;despite the fact thats
die-down,diedown;diedowns;die down;die downs
die-out,dieout;dieouts;die out;die outs
digital-camera,digitalcamera;digitalcameras;digital camera;digital cameras
dining-room,diningroom;diningrooms;dining room;dining rooms
direct-evidence,directevidence;directevidences;direct evidence;direct evidences
disc-jockey,discjockey;discjockeys;disc jockey;disc jockeys
disposable-income,disposableincome;disposableincomes;disposable income;disposable incomes
do-the-job,dothejob;dothejobs;do the job;do the jobs
do-the-trick,dothetrick;dothetricks;do the trick;do the tricks
do-your-best,doyourbest;doyourbests;do your best;do your bests
do-your-own-thing,doyourownthing;doyourownthings;do your own thing;do your own things
do-your-utmost,doyourutmost;doyourutmosts;do your utmost;do your utmosts
doom-and-gloom,doomandgloom;doomandglooms;doom and gloom;doom and glooms
down-and-out,downandout;downandouts;down and out;down and outs
down-the-drain,downthedrain;downthedrains;down the drain;down the drains
down-the-line,downtheline;downthelines;down the line;down the lines
drag-and-drop,draganddrop;draganddrops;drag and drop;drag and drops
draw-a-conclusion,drawaconclusion;drawaconclusions;draw a conclusion;draw a conclusions
drift-apart,driftapart;driftaparts;drift apart;drift aparts
drift-off,driftoff;driftoffs;drift off;drift offs
drop-dead,dropdead;dropdeads;drop dead;drop deads
dry-up,dryup;dryups;dry up;dry ups
due-to,dueto;duetos;due to;due tos
e-book,ebook;ebooks;e book;e books
each-other,eachother;eachothers;each other;each others
early-on,earlyon;earlyons;early on;early ons
earn-a-living,earnaliving;earnalivings;earn a living;earn a livings
easier-said-than-done,easiersaidthandone;easiersaidthandones;easier said than done;easier said than dones
eat-out,eatout;eatouts;eat out;eat outs
either-way,eitherway;eitherways;either way;either ways
elementary-school,elementaryschool;elementaryschools;elementary school;elementary schools
emergency-dispatcher,emergencydispatcher;emergencydispatchers;emergency dispatcher;emergency dispatchers
emergency-room,emergencyroom;emergencyrooms;emergency room;emergency rooms
end-up,endup;endups;end up;end ups
enjoy-yourself,enjoyyourself;enjoyyourselfs;enjoy yourself;enjoy yourselfs
enough-is-enough,enoughisenough;enoughisenoughs;enough is enough;enough is enoughs
environmentally-friendly,environmentallyfriendly;environmentallyfriendlys;environmentally friendly;environmentally friendlys
et-al,etal;etals;et al;et als
even-if,evenif;evenifs;even if;even ifs
even-so,evenso;evensos;even so;even sos
even-though,eventhough;eventhoughs;even though;even thoughs
ever-since,eversince;eversinces;ever since;ever sinces
every-now-and-then,everynowandthen;everynowandthens;every now and then;every now and thens
every-single,everysingle;everysingles;every single;every singles
every-so-often,everysooften;everysooftens;every so often;every so oftens
exceed-the-speed-limit,exceedthespeedlimit;exceedthespeedlimits;exceed the speed limit;exceed the speed limits
except-that,exceptthat;exceptthats;except that;except thats
exchange-rate,exchangerate;exchangerates;exchange rate;exchange rates
exclamation-point,exclamationpoint;exclamationpoints;exclamation point;exclamation points
excuse-me,excuseme;excusemes;excuse me;excuse mes
extreme-sports,extremesports;extremesportss;extreme sports;extreme sportss
eye-contact,eyecontact;eyecontacts;eye contact;eye contacts
face-the-music,facethemusic;facethemusics;face the music;face the musics
face-to-face,facetoface;facetofaces;face to face;face to faces
fade-away,fadeaway;fadeaways;fade away;fade aways
fair-enough,fairenough;fairenoughs;fair enough;fair enoughs
fair-play,fairplay;fairplays;fair play;fair plays
fall-apart,fallapart;fallaparts;fall apart;fall aparts
fall-asleep,fallasleep;fallasleeps;fall asleep;fall asleeps
fall-down,falldown;falldowns;fall down;fall downs
fall-flat,fallflat;fallflats;fall flat;fall flats
fall-flat-on-your-face,fallflatonyourface;fallflatonyourfaces;fall flat on your face;fall flat on your faces
fall-in-love,fallinlove;fallinloves;fall in love;fall in loves
