Word,Lemmas
abstainer,abstainers
abstention,abstentions
abstinence,abstinences
abstinent,abstinents
abstract,abstracts;abstracted;abstracting
abstraction,abstractions
abstractness,abstractnesses
abstruse,abstruser
absurd,absurds
absurdity,absurdities
abundance,abundances
abuse,abused;abuses;abusing
abuser,abusers
abut,abutting;abuts;abutted
abutment,abutments
abyss,abysses
ac,acs
acacia,acacias
academia,academias
academic,academics
academician,academicians
academy,academies
acanthocephalan,acanthocephalans
acanthus,acanthuss
accede,acceded;acceding;accedes
accelerate,accelerated;accelerating;accelerates
acceleration,accelerations
accelerator,accelerators
accelerometer,accelerometers
accent,accents;accented;accenting;accentings
accentuate,accentuated;accentuates;accentuating
accentuation,accentuations
accept,accepted;accepting;accepts
acceptability,acceptabilities
acceptance,acceptances
acceptation,acceptations
acceptor,acceptors
access,accessed;accessing;accesses
accessibility,accessibilities
accessible,accessibles
accession,accessions;accessioned;accessioning
accessorize,accessorized
accessory,accessories
accident,accidents
accidental,accidentals
acclaim,acclaimed;acclaiming;acclaims
acclamation,acclamations
acclimate,acclimated
acclimatization,acclimatizations
acclimatize,acclimatized;acclimatizing;acclimatizes
accolade,accolades
accommodate,accommodated;accommodating;accommodates
accommodation,accommodations
accompaniment,accompaniments
accompanist,accompanists
accompany,accompanied;accompanying;accompanies
accomplice,accomplices
accomplish,accomplished;accomplishing;accomplishes
accomplishment,accomplishments
accord,according;accorded;accords
accordance,accordances
according,accordingly
according-to,accordingto;accordingtos;according to;according tos
accordion,accordions
accordionist,accordionists
accost,accosted;accosting;accosts
account,accounts;accounted;accounting
accountability,accountabilities
accountable,accountables
accountancy,accountancies
accountant,accountants
accoutrement,accoutrements
accredit,accredited;accrediting;accredits
accreditation,accreditations
accrete,accreted;accreting;accretes
accretion,accretions
accrual,accruals
accrue,accrued;accruing;accrues
acculturate,acculturated;acculturates;acculturating
acculturation,acculturations
accumulate,accumulated;accumulating;accumulates
accumulation,accumulations
accumulator,accumulators
accuracy,accuracies
accurate,accuracy;;accurately;inaccuracy;inaccurate;inaccurately
accusation,accusations
accusative,accusatives
accuse,accused;accusing;accuses
accused,accuseds
accuser,accusers
accustom,accustomed;accustoms;accustoming
ace,aces
acetaldehyde,acetaldehydes
acetaminophen,acetaminophens
acetate,acetates
acetone,acetones
acetyl,acetyls
acetylate,acetylated;acetylating;acetylates
acetylation,acetylations
acetylcholine,acetylcholines
acetylene,acetylenes
ache,ached;aching;aches
achieve,achieved;achieving;achieves
achievement,achievements
achiever,achievers
acid,acids
acidic,acidics
acidification,acidifications
acidify,acidified;acidifying;acidifies
acidity,acidities
acidosis,acidoses
acinus,acinuss
acknowledge,acknowledged;acknowledges;acknowledging
acknowledgement,acknowledgements
acknowledgment,acknowledgments
acme,acmes
acne,acnes
acolyte,acolytes
aconite,aconites
acorn,acorns
acoustic,acoustics
acquaint,acquainted;acquainting;acquaints
acquaintance,acquaintances
acquaintanceship,acquaintanceships
acquiesce,acquiesced;acquiescing;acquiesces
acquiescence,acquiescences
acquire,acquired;acquiring;acquires
acquirer,acquirers
acquisition,acquisitions
acquisitiveness,acquisitivenesses
acquit,acquitted;acquitting;acquits
acquittal,acquittals
acre,acres
acreage,acreages
acrimony,acrimonies
acrobat,acrobats
acrobatic,acrobatics
acronym,acronyms;acronymed
acropolis,acropolis
acrosome,acrosomes
across-the-board,acrosstheboard;acrosstheboards;across the board;across the boards
acrylamide,acrylamides
acrylic,acrylics
act,acts;acting;acted;actings
actin,actins
actinide,actinides
actinomycin,actinomycins
action,actions;actioned;actioning;actionings
activate,activated;activating;activates;activatings
activation,activations
activator,activators
active,actives
activeness,activenesses
activism,activisms
activist,activists
activity,activities
actor,actors
actress,actresses
actual,actuals
actuality,actualities
actualization,actualizations
actualize,actualized;actualizing;actualizes
actuary,actuaries
actuate,actuated;actuates;actuating
actuator,actuators
acuity,acuities
acumen,acumens
acupuncture,acupunctures
acute,acutes;acutest
acuteness,acutenesses
acyclovir,acyclovirs
acyl,acyls
ad,ads
adage,adages
adamant,adamants
adams,adamss
adapt,adapted;adapting;adapts
adaptability,adaptabilities
adaptation,adaptations
adapter,adapters
adaption,adaptions
adaptive,adaptives
adaptor,adaptors
add,added;adding;adds;addings
add-insult-to-injury,addinsulttoinjury;addinsulttoinjurys;add insult to injury;add insult to injurys
addend,addends
addendum,addendums;addenda
adder,adders
addict,addicted;addicts
addiction,addictions
addition,additions
additive,additives
addle,addled;addles;addling
address,addressed;addresses;addressing
addressee,addressees
adduce,adduced;adduces;adducing
adduct,adducts;adducted;adducting
adduction,adductions
ade,ades
adelgid,adelgids
adenine,adenines
adenocarcinoma,adenocarcinomas
adenoid,adenoids
adenoidectomy,adenoidectomies
adenoma,adenomas
adenosine,adenosines
adenovirus,adenoviruss
adept,adepts
adequacy,adequacies
adhere,adhered;adhering;adheres;adhereing
adherence,adherences
adherent,adherents
adhesion,adhesions
adhesive,adhesives
adhocracy,adhocracies
adieu,adieux;adieus
adjacency,adjacencies
adjacent,adjacents
adjective,adjectives;adj
adjoin,adjoining;adjoins;adjoined
adjourn,adjourned;adjourning;adjourns
adjournment,adjournments
adjudge,adjudged;adjudging;adjudges
adjudicate,adjudicated;adjudicating;adjudicates
adjudication,adjudications
adjudicator,adjudicators
adjunct,adjuncts
adjure,adjured;adjuring;adjures
adjust,adjusted;adjusting;adjusts
adjustable,adjustables
adjuster,adjusters
adjustment,adjustments
adjutant,adjutants
adjuvant,adjuvants
adman,admen
admin,admins
administer,administered;administering;administers
administrate,administrating;administrates;administrated
administration,administrations
administrator,administrators
admiral,admirals
admiralty,admiralties
admiration,admirations
admire,admired;admiring;admires
admirer,admirers
admissibility,admissibilities
admission,admissions
admit,admitted;admits;admitting
admittance,admittances
admixture,admixtures
admonish,admonished;admonishing;admonishes
admonishment,admonishments
admonition,admonitions
ado,adoes
adobe,adobes
adolescence,adolescences
adolescent,adolescents
adopt,adopted;adopting;adopts
adoptee,adoptees
adopter,adopters
adoption,adoptions
adoration,adorations
adore,adored;adores;adoring
adorn,adorned;adorning;adorns
adornment,adornments
adrenal,adrenals
adrenalin,adrenalins
adrenaline,adrenalines
adrenergic,adrenergics
adsorb,adsorbed;adsorbs;adsorbing
adsorption,adsorptions
adulation,adulations
adult,adults
adulterate,adulterated;adulterating;adulterates
adulteration,adulterations
adulterer,adulterers
adulteress,adulteresses
adultery,adulteries
adulthood,adulthoods
adumbrate,adumbrated;adumbrates;adumbrating
advance,advanced;advances;advancing
advancement,advancements
advancer,advancers
advantage,advantages;advantaged
advent,advents
adventure,adventures;adventuring;adventured
adventurer,adventurers
adventurism,adventurisms
adverb,adverbs
adverbial,adverbials
adversary,adversaries
adversity,adversities
advert,adverts;adverted;adverting
advertise,advertised;advertising;advertises
advertisement,advertisements
advertiser,advertisers
advertising,advertisings
advertorial,advertorials
advice,advice
advisability,advisabilities
advisable,advisables
advise,advised;advising;advises
adviser,advisers
advisor,advisors
advisory,advisories
advocacy,advocacies
advocate,advocated;advocates;advocating
adze,adzes;adzing;adzed
aegis,aegis
aeon,aeons
aerate,aerated;aerating;aerates
aeration,aerations
aerial,aerials
aero,aeros
aerobatic,aerobatics
aerobic,aerobics
aerodrome,aerodromes
aerodynamic,aerodynamics
aerofoil,aerofoils
aerogram,aerograms
aeronaut,aeronauts
aeronautics,aeronauticss
aerosol,aerosols;aerosolled
aerospace,aerospaces
aesop,aesops
aesthete,aesthetes
aesthetic,aesthetics;esthetic;esthetics
afar,afars
affability,affabilities
affair,affairs
affect,affected;affecting;affects
affectation,affectations
affection,affections
afferent,afferents
affidavit,affidavits
affiliate,affiliated;affiliates;affiliating
affiliation,affiliations
affine,affines
affinity,affinities
affirm,affirmed;affirming;affirms;affirmings
affirmation,affirmations
affirmative,affirmatives
affix,affixed;affixes;affixing
affixation,affixations
afflict,afflicted;afflicts;afflicting
affliction,afflictions
affluence,affluences
affluent,affluents
afford,afforded;affords;affording
affordable,affordables
afforest,afforesting;afforests;afforested
afforestation,afforestations
affray,affrays;affraid
affricate,affricates
affront,affronted;affronts;affronting
afghan,afghans
afghani,afghanis
aficionado,aficionados
afraid,unafraid
africa,africas
african,africans
aft,afts
after,afters
after-all,afterall;afteralls;after all;after alls
afterbirth,afterbirths
afterburner,afterburners
aftercare,aftercares
afterdeck,afterdecks
aftereffect,aftereffects
afterglow,afterglows
afterlife,afterlives
aftermath,aftermaths
afternoon,afternoons
aftershave,aftershaves;aftershaved
aftershock,aftershocks
aftertaste,aftertastes
afterthought,afterthoughts
afterward,afterwards
afterword,afterwords
again-and-again,againandagain;againandagains;again and again;again and agains
against-all-odds,againstallodds;againstalloddss;against all odds;against all oddss
against-the-law,againstthelaw;againstthelaws;against the law;against the laws
agape,agapes
agar,agars
agate,agates
agave,agaves
age,ages;aged;ageing
aged,ageds
ageism,ageisms
agency,agencies
agenda,agendas
agenesis,ageneses
agent,agents
agglomeration,agglomerations
agglutinate,agglutinated;agglutinating;agglutinates
agglutination,agglutinations
agglutinin,agglutinins
aggrandizement,aggrandizements
aggravate,aggravated;aggravating;aggravates
aggravation,aggravations
aggregate,aggregates;aggregated;aggregating;aggregated.;aggregatings
aggregation,aggregations
aggregator,aggregators
aggression,aggressions
aggressiveness,aggressivenesses
aggressor,aggressors
aggrieve,aggrieved;aggrieves;aggrieving
aggro,aggros
agility,agilities
aging,agings
agitate,agitated;agitating;agitates
agitation,agitations
agitator,agitators
agitprop,agitprops
agnostic,agnostics
agnosticism,agnosticisms
agon,agons
agonist,agonists
agonize,agonized;agonizing;agonizes
agony,agonies
agora,agoras
agoraphobia,agoraphobias
agouti,agoutis
agrarian,agrarians
agree,agreed;agrees;agreeing;agreeings
agreement,agreements
agribusiness,agribusinesses
agriculture,agricultures
agriculturist,agriculturists
agrochemical,agrochemicals
agronomic,agronomics
agronomist,agronomists
agronomy,agronomies
agua,aguas
ague,agues
ah,ahs
ai,ais
aid,aids;aided;aiding
aide,aides
aids,aidss
aikido,aikidoes
ail,ails;ailed;ailing
aileron,ailerons
ailment,ailments
aim,aims;aimed;aiming
aimlessness,aimlessnesses
air,aired;airs;airing;airings
air-conditioning,airconditioning;airconditionings;air conditioning;air conditionings
air-force,air-forces;airforce;airforces;air force;air forces
airbag,airbags
airbase,airbases
airbrake,airbrakes;airbraked
airbrush,airbrushes;airbrushed
airbus,airbuses
aircondition,airconditioning;airconditioned
aircraft,aircrafts
aircrew,aircrews
airdrop,airdrops
airfare,airfares
airfield,airfields
airflow,airflows
airforce,airforces
airframe,airframes
airhead,airheads
airlift,airlifted;airlifts;airlifting
airline,airlines
airliner,airliners
airlock,airlocks
airmail,airmails;airmailed;airmailing
airman,airmen
airplane,airplanes;aeroplane;aeroplanes
airport,airports
airship,airships
airshow,airshows
airspace,airspaces
airspeed,airspeeds
airstream,airstreams
airstrip,airstrips
airwave,airwaves
airway,airways
airworthiness,airworthinesses
airy,airier;airiest
aisle,aisles
akkadian,akkadians
al,als
ala,alas
alabaster,alabasters
alacrity,alacrities
alanine,alanines
alarm,alarms;alarmed;alarming
alarm-clock,alarmclock;alarmclocks;alarm clock;alarm clocks
alarmist,alarmists
albatross,albatrosses
albedo,albedoes
albino,albinos
album,albums
albumin,albumins
albuterol,albuterols
alchemist,alchemists
alchemy,alchemies
alcohol,alcohols
alcoholic,alcoholics
alcoholism,alcoholisms
alcove,alcoves
aldehyde,aldehydes
alder,alders
alderman,aldermen
ale,ales;aled
alehouse,alehouses
alert,alerted;alerting;alerts
alertness,alertnesses
aleurone,aleurones
alewife,alewives
alexander,alexanders
alfalfa,alfalfas
alfred,alfreds
alga,algae
algae,algaes
algebra,algebras
alginate,alginates
algorithm,algorithms
alias,aliases
alibi,alibis
alien,aliens
alienate,alienated;alienating;alienates
alienation,alienations
alight,alighted;alighting;alights;alit
align,aligned;aligning;aligns
alignment,alignments
aliment,aliments;alimenting;alimented
alimony,alimonies
aline,alines;alining;alined
aliquot,aliquots
alizarin,alizarins
alkali,alkalis
alkaline,alkalines
alkalinity,alkalinities
alkaloid,alkaloids
alkane,alkanes
alkene,alkenes
alkyd,alkyds
alkyl,alkyls
alkyne,alkynes
all,alls
all-along,allalong;allalongs;all along;all alongs
all-at-once,allatonce;allatonces;all at once;all at onces
all-but,allbut;allbuts;all but;all buts
all-day-long,alldaylong;alldaylongs;all day long;all day longs
all-hours,allhours;allhourss;all hours;all hourss
all-in-all,allinall;allinalls;all in all;all in alls
all-is-well,alliswell;alliswells;all is well;all is wells
all-of-a-sudden,allofasudden;allofasuddens;all of a sudden;all of a suddens
all-over,allover;allovers;all over;all overs
all-over-again,alloveragain;alloveragains;all over again;all over agains
all-over-somewhere,alloversomewhere;alloversomewheres;all over somewhere;all over somewheres
all-over-the-place,allovertheplace;allovertheplaces;all over the place;all over the places
all-right,allright;allrights;all right;all rights
all-shapes-and-sizes,allshapesandsizes;allshapesandsizess;all shapes and sizes;all shapes and sizess
all-the-best,allthebest;allthebests;all the best;all the bests
all-the-time,allthetime;allthetimes;all the time;all the times
all-the-way,alltheway;alltheways;all the way;all the ways
all-things-considered,allthingsconsidered;allthingsconsidereds;all things considered;all things considereds
allay,allayed;allaying;allays
allegation,allegations
allege,alleged;alleging;alleges
allegiance,allegiances
allegory,allegories
allele,alleles
allen,allens
allergen,allergens
allergist,allergists
allergy,allergies
alleviate,alleviated;alleviating;alleviates
alleviation,alleviations
alley,alleys
alleyway,alleyways
alliance,alliances
alligator,alligators
alliteration,alliterations
allocate,allocated;allocating;allocates;allocatings
allocation,allocations
allocator,allocators
allometry,allometries
allomorph,allomorphs
allophone,allophones
allot,allotted;allotting;allots
allotment,allotments
allow,allowed;allowing;allows;allowings
allowance,allowances
alloy,alloys;alloying;alloyed
allude,alluded;alluding;alludes
allure,allured;allures;alluring
allusion,allusions
ally,allies;allied;allying;!allies
almanac,almanacs
almighty,almighties
almond,almonds
almoner,almoners
almost,almosts
alms,almss
almshouse,almshouses
aloe,aloes
aloha,alohas
alone,standalone
aloneness,alonenesses
aloofness,aloofnesses
alopecia,alopecias
alp,alps
alpaca,alpacas
alpha,alphas
alphabet,alphabets
alphanumeric,alphanumerics
alpine,alpines
alright,alrighty
alt,alts
altar,altars
altarpiece,altarpieces
alter,altered;altering;alters
alteration,alterations
altercation,altercations
alternate,alternating;alternated;alternates
alternation,alternations
alternative,alternatives
alternator,alternators
altimeter,altimeters
altitude,altitudes
alto,altos
altogether,altogethers
altruism,altruisms
alum,alums
alumina,aluminas
aluminium,aluminiums
aluminum,aluminums;aluminium
alumnus,alumni
alveolar,alveolars
alveolus,alveoluss
always,allus
amalgam,amalgams
amalgamate,amalgamated;amalgamating;amalgamates
amalgamation,amalgamations
amass,amassed;amassing;amasses
amateur,amateurs
amateurism,amateurisms
amaze,amazed;amazes;amazing;amazings
amazement,amazements
amazon,amazons
ambassador,ambassadors
ambassadorship,ambassadorships
amber,ambers
ambiance,ambiances
ambience,ambiences
ambiguity,ambiguities
ambit,ambits
ambition,ambitions
ambivalence,ambivalences
amble,ambled;ambling;ambles
amblyopia,amblyopias
ambrosia,ambrosias
ambulance,ambulances
ambulanceman,ambulancemen
ambulate,ambulating;ambulates;ambulated
ambulatory,ambulatories
ambush,ambushed;ambushes;ambushing
ameliorate,ameliorated;ameliorating;ameliorates
amelioration,ameliorations
amen,amens
amend,amended;amending;amends
amendment,amendments
amenity,amenities
american,americans
amethyst,amethysts
amide,amides
amigo,amigos
amine,amines
amino,aminoes
aminotransferase,aminotransferases
amiodarone,amiodarones
amish,amishes
amiss,amisses;amissing
amity,amities
ammeter,ammeters
ammonia,ammonias
ammonite,ammonites
ammonium,ammoniums
ammunition,ammunitions
amnesia,amnesias
amnesty,amnesties;amnestied
amniocentesis,amniocenteses
amnion,amnions
amniote,amniotes
amoeba,amoebae;amoebas
among,amongst
among-other-things,amongotherthings;amongotherthingss;among other things;among other thingss
amortization,amortizations
amortize,amortized;amortizing;amortizes
amount,amounts;amounted;amounting
amour,amours
amoxicillin,amoxicillins
amp,amps;amping
ampere,amperes
ampersand,ampersands
amphetamine,amphetamines
amphibian,amphibians
amphibolite,amphibolites
amphipod,amphipods
amphitheater,amphitheaters
amphora,amphoras
ampicillin,ampicillins
ample,ampler
amplification,amplifications
amplifier,amplifiers
amplify,amplified;amplifying;amplifies
amplitude,amplitudes
ampoule,ampoules
ampulla,ampullas
amputate,amputated;amputates;amputating
amputate-	,amputate	;amputate	s;amputate 	;amputate 	s
amputation,amputations
amputation-noun,amputationnoun;amputationnouns;amputation noun;amputation nouns
amputee,amputees
amsterdam,amsterdams
amulet,amulets
amuse,amused;amusing;amuses
amusement,amusements
amygdala,amygdalas
amylase,amylases
amyloid,amyloids
amyloidosis,amyloidoses
an,some
an-appetite-for-something,anappetiteforsomething;anappetiteforsomethings;an appetite for something;an appetite for somethings
an-invasion-of-privacy,aninvasionofprivacy;aninvasionofprivacys;an invasion of privacy;an invasion of privacys
ana,anas
anabaptist,anabaptists
anachronism,anachronisms
anaconda,anacondas
anaemia-,anaemia;anaemias;anaemia ;anaemia s
anaemic-,anaemic;anaemics;anaemic ;anaemic s
anagram,anagrams;anagramming
anal,anals
analgesia,analgesias
analgesic,analgesics
analog,analogs
analogize,analogizing;analogized;analogizes
analogy,analogies
analyse,analysed;analysing;analyses
analysis,analyses
analyst,analysts
analytic,analytics;analytical
analytical,analyticals
analyze,analyzed;analyzing;analyzes
analyzer,analyzers
anaphase,anaphases
anaphor,anaphors
anaphora,anaphoras
anarchism,anarchisms
anarchist,anarchists
anarchy,anarchies
anastomosis,anastomoses
anathema,anathemas
anatomical,anatomicals
anatomist,anatomists
anatomy,anatomies
ancestor,ancestors
ancestry,ancestries
anchor,anchors;anchoring;anchored
anchorage,anchorages
anchovy,anchovies
ancient,ancients
ancillary,ancillaries
and,ands;anded;anding;n
and-so-on,andsoon;andsoons;and so on;and so ons
anderson,andersons
andesite,andesites
andrew,andrews
androgen,androgens
androgyny,androgynies
android,androids
anecdote,anecdotes
anemia,anemias
anemometer,anemometers
anemone,anemones
aneroid,aneroids
anesthesia,anesthesias
anesthesiologist,anesthesiologists
anesthesiology,anesthesiologies
anesthetic,anesthetics
anesthetist,anesthetists
anesthetize,anesthetizes;anesthetizing;anesthetized
aneuploidy,aneuploidies
aneurysm,aneurysms
angel,angels
angelica,angelicas
anger,angered;angers;angering
angina,anginas
angiogenesis,angiogeneses
angiography,angiographies
angioplasty,angioplasties
angiosperm,angiosperms
angiotensin,angiotensins
angle,angles;angled;angling
angler,anglers
anglican,anglicans
anglicize,anglicized;anglicizes;anglicizing
anglo,anglos
angry,angrier;angriest
angst,angsts
angstrom,angstroms
anguish,anguishing;anguishes;anguished
angularity,angularities
anhedonia,anhedonias
ani,anis
anima,animas
animal,animals
animalia,animalias
animate,animated;animates;animating
animation,animations
animator,animators
animatronics,animatronicss
anime,animes
animism,animisms
animosity,animosities
animus,animuss
anion,anions
anionic,anionics
anisogamy,anisogamies
anisotropy,anisotropies
ankle,ankles
anklet,anklets
anna,annas
annalist,annalists
annals,annalss
anne,annes
anneal,annealing;annealed;anneals
annelid,annelids
annex,annexed;annexes;annexing
annexation,annexations
annexe,annexes
annihilate,annihilated;annihilating;annihilates
annihilation,annihilations
anniversary,anniversaries
annotate,annotated;annotating;annotates
annotation,annotations
annotator,annotators
announce,announced;announcing;announces
announcement,announcements
announcer,announcers
annoy,annoyed;annoys;annoying
annoyance,annoyances
annoying,annoyings
annual,annuals
annualize,annualized
annuitant,annuitants
annuity,annuities
annul,annulled;annulling;annuls
annulment,annulments
annulus,annuluss
annum,annums
annunciation,annunciations
annunciator,annunciators
anode,anodes
anoint,anointed;anointing;anoints
anole,anoles
anomaly,anomalies
anon,anons
anonymity,anonymities
anorak,anoraks
anorexia,anorexias
anorexic,anorexics
anoxia,anoxias
answer,answered;answers;answering;answerings
answerphone,answerphones
ant,ants;anted;anting
antacid,antacids
antagonism,antagonisms
antagonist,antagonists
antagonize,antagonized;antagonizing;antagonizes
antarctic,antarctics
antarctica,antarcticas
ante,antes;anteing;anteed
anteater,anteaters
antecedent,antecedents
antechamber,antechambers
antediluvian,antediluvians
antelope,antelopes
antenatal,antenatals
antenna,antennas;antennae
antepenultimate,antepenultimates
anterior,anteriors
anteroom,anterooms
anthelmintic,anthelmintics
anthem,anthems
anther,anthers
anthill,anthills
anthologize,anthologized;anthologizes;anthologizing
anthology,anthologies
anthony,anthonies
anthracite,anthracites
anthrax,anthraxes
anthropoid,anthropoids
anthropologist,anthropologists
anthropology,anthropologies
anthropometric,anthropometrics
anthropomorphism,anthropomorphisms
anthropomorphize,anthropomorphized;anthropomorphizing;anthropomorphizes
anti,antis
anti-depressant,anti-depressants;antidepressant;antidepressants;anti depressant;anti depressants
antiaircraft,antiaircrafts
antiarrhythmic,antiarrhythmics
antibacterial,antibacterials
antibiotic,antibiotics
antibody,antibodies
antic,antics
anticholinergic,anticholinergics
anticipate,anticipated;anticipating;anticipates
anticipation,anticipations
anticlimax,anticlimaxes
anticline,anticlines
anticoagulant,anticoagulants
anticoagulation,anticoagulations
anticonvulsant,anticonvulsants
anticyclone,anticyclones
antidepressant,antidepressants
antidote,antidotes
antidrug,antidrugs
antifouling,antifoulings
antifreeze,antifreezes
antigen,antigens
antihero,antiheros;antiheroes
antihistamine,antihistamines
antihypertensive,antihypertensives
antimacassar,antimacassars
antimalarial,antimalarials
antimatter,antimatters
antimicrobial,antimicrobials
antimony,antimonies
antinode,antinodes
antinomian,antinomians
antioxidant,antioxidants
antiparticle,antiparticles
antipasto,antipastoes
antipathy,antipathies
antiphon,antiphons
antipodal,antipodals
antipsychotic,antipsychotics
antiquarian,antiquarians
antiquark,antiquarks
antiquary,antiquaries
antiquate,antiquates;antiquating;antiquated
antique,antiques;antiqued
antiquity,antiquities
antiracist,antiracists
antiseptic,antiseptics
antiserum,antiserums
antithesis,antitheses
antitoxin,antitoxins
antiviral,antivirals
antler,antlers;antlered
antrum,antrums
anuran,anurans
anus,anuses
anvil,anvils
anxiety,anxieties
anxiousness,anxiousnesses
any,anybody;anyhow;anymore;anyone;anything;anyway;anywhere
any-more,anymore;anymores;any more;any mores
anything,anythings
anything-like,anythinglike;anythinglikes;anything like;anything likes
anyway,anyways
aorta,aortas
apache,apaches
apar,apars
