Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
acceptability,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,
acceptable,B2,3000.0,0.0,NN,N,N,N,N,A3,A3,2.0,False,False,2.0,C1,
acceptance,C1,5000.0,9.0,general,N,Y,Y,Y,A4,B1,1.0,True,False,3.0,C1,
acceptation,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0.0,True,False,6.0,,
accepted,,,,,,,,,,,,,,,C1,
acceptor,NN,0.0,9.0,science,N,N,N,N,C3,NN,0.0,True,False,6.0,,
access,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2.0,True,False,2.0,B2,
accessibility,NN,0.0,0.0,NN,N,N,N,N,B2,B1,0.0,True,False,3.0,,
accessible,C1,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1.0,True,False,3.0,C2,
accession,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1.0,True,False,3.0,,
accessorize,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
accessory,NN,0.0,0.0,NN,N,N,Y,N,B1,B2,1.0,True,False,3.0,C1,
accident,A2,3000.0,0.0,NN,Y,N,N,N,A2,A2,2.0,True,False,1.0,A2,
accidental,NN,0.0,0.0,NN,N,N,N,N,B2,B2,2.0,True,False,3.0,B2,
accidentally,B2,5000.0,0.0,NN,N,Y,N,N,B2,B1,0.0,False,False,3.0,B1,
acclaim,NN,0.0,6.0,social_studies,N,Y,Y,N,B2,B2,1.0,True,False,3.0,,
acclaimed,,,,,,,,,,,,,,,C1,
acclamation,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
acclimate,NN,0.0,0.0,NN,N,N,N,N,C3,C1,0.0,True,False,6.0,,
acclimatization,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acclimatize,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
accolade,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
accommodate,B2,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1.0,True,False,3.0,,
accommodation,B2,5000.0,6.0,social_studies,N,N,N,N,A2,A3,2.0,True,False,2.0,,
accommodations,,,,,,,,,,,,,,,B2,
accompaniment,NN,0.0,0.0,NN,N,Y,N,N,B3,C1,1.0,True,False,4.0,,
accompanist,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
accompany,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2.0,True,False,2.0,C2,
accomplice,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,csi
accomplish,B2,5000.0,0.0,NN,N,N,N,N,A3,A2,2.0,True,False,3.0,C1,
accomplishment,C1,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1.0,True,False,3.0,,
accord,NN,0.0,0.0,NN,N,N,N,N,A1,A1,1.0,True,False,2.0,,
accordance,NN,0.0,0.0,NN,N,N,N,Y,B1,B2,1.0,True,False,3.0,,
accordant,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0.0,False,False,6.0,,
according,NN,0.0,0.0,NN,Y,N,N,N,NN,NN,2.0,True,False,3.0,,
according to,,,,,,,,,,,,,,,B2,
accordingly,C1,5000.0,0.0,NN,N,N,Y,Y,B1,B2,1.0,False,False,3.0,,
accordion,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,,
accordionist,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0.0,True,False,6.0,,
accost,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0.0,True,False,6.0,,
account,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2.0,True,False,2.0,B2,
accountability,C1,5000.0,0.0,NN,N,N,N,Y,B1,B1,0.0,True,False,3.0,,
accountable,C1,5000.0,9.0,social_studies,N,N,N,Y,B1,B1,1.0,True,False,3.0,C2,
accountancy,NN,0.0,0.0,NN,N,N,N,N,B3,C2,0.0,True,False,4.0,,
accountant,B2,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1.0,True,False,3.0,B1,
accoutrement,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0.0,True,False,6.0,,
accredit,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
accreditation,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0.0,True,False,5.0,,
accrete,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
accretion,NN,0.0,9.0,science,N,N,N,N,C1,NN,0.0,True,False,5.0,,
accretionary,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0.0,False,False,6.0,,
accrual,NN,0.0,0.0,NN,N,N,N,Y,C1,NN,0.0,True,False,4.0,,
accrue,NN,0.0,0.0,NN,N,N,N,Y,B2,B3,0.0,True,False,3.0,,
acculturate,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,,
acculturation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
accumulate,C1,5000.0,0.0,NN,N,Y,Y,Y,A4,A4,1.0,True,False,3.0,C1,
accumulation,C1,5000.0,9.0,science,N,Y,N,Y,A4,A4,1.0,True,False,3.0,C2,
accumulative,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0.0,False,False,6.0,,
accumulator,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0.0,True,False,6.0,,
accuracy,B2,5000.0,5.0,general,N,Y,Y,Y,A4,A4,1.0,True,False,3.0,B2,
accurate,B2,3000.0,4.0,general,Y,N,N,N,A3,A2,2.0,True,False,2.0,B2,
accurately,B2,5000.0,6.0,general,N,Y,Y,Y,A4,A4,1.0,False,False,3.0,B2,
accurse,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
accursed,NN,0.0,9.0,social_studies,N,N,N,N,NN,NN,1.0,False,False,4.0,,
accusation,C1,5000.0,6.0,social_studies,N,N,N,Y,B1,B1,1.0,True,False,3.0,C1,
accusative,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0.0,True,False,6.0,,
accusatory,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,,
accuse,B2,3000.0,5.0,social_studies,N,N,N,N,A2,A2,2.0,True,False,2.0,B2,legal_terms
accused,C1,5000.0,0.0,NN,N,N,N,N,NN,NN,0.0,True,False,4.0,,
accuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0.0,True,False,5.0,,
accusingly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
accustom,NN,0.0,0.0,NN,N,Y,Y,N,B1,B1,1.0,True,False,3.0,,
ace,NN,0.0,0.0,NN,N,N,N,N,B2,B1,1.0,True,False,3.0,,
acerbic,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,False,False,6.0,,
acetaldehyde,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acetaminophen,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
acetate,NN,0.0,9.0,science,N,N,N,N,C1,C1,0.0,True,False,5.0,,
acetic,NN,0.0,9.0,science,N,N,N,N,C2,NN,0.0,False,False,6.0,,
acetone,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acetyl,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
acetylate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acetylation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acetylcholine,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
acetylene,NN,0.0,9.0,science,N,N,N,N,C4,NN,0.0,True,False,6.0,,
ache,NN,0.0,0.0,NN,N,N,N,N,B1,B1,1.0,True,False,3.0,B2,medical
achievable,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0.0,False,False,5.0,,
achieve,A2,3000.0,5.0,general,Y,N,N,N,A1,A2,2.0,True,False,1.0,B1,
achievement,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2.0,True,False,2.0,B1,
achiever,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
achy,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,False,False,6.0,,
acid,B2,5000.0,4.0,science,N,Y,N,Y,A3,A3,2.0,True,False,3.0,B2,
acidic,NN,0.0,5.0,science,N,Y,N,N,A4,A4,0.0,False,False,3.0,,
acidification,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
acidify,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0.0,True,False,6.0,,
acidity,NN,0.0,6.0,science,N,N,N,N,C1,C1,0.0,True,False,5.0,,
acidly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
acidophilic,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
acidosis,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acinar,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
acinus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acknowledge,B2,3000.0,9.0,general,N,N,N,N,A2,A2,2.0,True,False,2.0,C1,
acknowledgement,NN,0.0,9.0,general,N,N,N,N,B2,B2,0.0,True,False,3.0,,
acknowledgment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1.0,True,False,4.0,,
acme,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
acne,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
acolyte,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
aconite,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0.0,True,False,6.0,,
acorn,NN,0.0,2.0,science,N,Y,N,N,C1,C1,1.0,True,False,4.0,,
acoustic,NN,0.0,0.0,NN,N,Y,N,N,B1,B2,0.0,True,False,3.0,,
