Word,Lemmas
less,lessen
exact,exactly;exactness;inexact;inexactness
force,forceful;forcefully;forcible;forcibly;unforced;workforce
zero,nonzero
real,realism;realist;realistic;realistically;reality;unreal;unrealistic;unrealistically;unreality
life,afterlife;;lifeless;lifelessly;lifelike;lifelong;lifetime;midlife
run,rerun;;runabout;runaround;rundown;runner;runny;runoff;runtime
late,latecomer;lately;lateness
name,misnamed;;nameless;namely;rename;unnamed;username
six,sixteen;sixteenth;sixth;sixthly;sixtieth;sixty
area,
base,baseless;baseline;baser;powerbase
history,historian;historic;historical;historically;historicism;historicist;historicity;;prehistory
pretty,prettily;prettiness
begin,beginner
answer,answerable;unanswerable;unanswered
whether,
eight,eighteen;eighteenth;eighth;eightieth;eighty
week,midweek;midweekly;;weekday;weekend;weekly;workweek
square,squarely;squareness
sure,surely;sureness;unsure
keep,keeper;timekeeper;timekeeping
control,controllable;controller;uncontrollable;uncontrollably;uncontrolled
rate,rateable;rater
type,subtype
country,countryside
left,lefthand;lefthander;leftist;leftmost;leftover;leftward
grow,grower;growth;ingrowing;ingrowth;regrow
nature,natural;naturalism;naturalist;naturalistic;naturalistically;naturally;naturalness;;naturedly;unnatural;unnaturally
seem,seemingly
student,studentship
together,togetherness
few,
book,bookcase;bookend;bookish;bookkeeper;bookkeeping;booklet;coursebook;storybook;workbook;yearbook
market,marketability;marketable;marketeer;marketer;marketplace;nonmarket
govern,government;governmental;governor;governorship;intergovernmental;misgoverned;ungovernable
inform,informant;information;informational;informer;misinform;misinformation;uninformed
easy,easily;easiness;;easygoing
true,truism;truly;untrue
own,
else,elsewhere
man,countryman;englishman;englishwoman;everyman;gunman;irishman;irishwoman;lawman;lineman;;manfully;manhood;manliness;manly;mannish;showman;showmanship
away,getaway;giveaway;runaway;takeaway
stuff,
help,helper;helpful;helpfully;helpfulness;helpless;helplessly;helplessness;helpline;unhelpful;unhelpfully
play,playability;playable;playback;playbook;player;playful;playfully;playfulness;playgroup;plaything;playtime;replay;unplayable
cost,costless;costly
issue,issuance;;issuer
difference,
body,bodily;;bodybuilder;bodybuilding
human,humanism;humanist;humanistic;humanity;humankind;humanly;humanness;inhuman;inhumanity;nonhuman
field,fielder;fieldwork;fieldworker;midfielder;minefield
early,earliness
learn,learnedly;learner;relearn;unlearn
bring,bringer
clear,clearance;clearly;clearness;unclear
live,livable
feel,feeler;unfeeling
win,winner
least,
lead,leader;leaderless;leadership;mislead;misleadingly
centre,centerist;centerline;central;centralisation;centralise;centralism;centralist;centrality;centrally;;centredness;centric;centrist
follow,follower
test,retest;;testable;tester;untestable;untested
picture,
never,
enough,
free,freedom;freely;freeman;unfree;unfreed
study,studious;studiously
depend,dependability;dependable;dependably;dependant;dependent;undependable
school,preschool;preschooler;;schoolwork;unschooled
minute,
once,
computer,computable;computation;computational;computationally;compute;;computerisation;computerise
view,viewable;viewer;viewpoint
already,
such,
seven,seventeen;seventeenth;seventh;seventieth;seventy
programme,programmable;programmatic;;programmer;reprogram
far,faraway
cause,causation;causative
hard,hardback;harden;hardener;hardness;hardship;hardworking
yet,
suppose,supposedly
obvious,obviously;obviousness
bad,baddy;badly;badness
often,
either,
close,closely;closeness
charge,chargeable;chargee;charger;uncharged
under,underbody;undermanned;underside;underwater
pay,payable;payback;payday;payee;payer;paying;payment;payoff;payout;prepay;prepayment;underpay;underpayment;unpaid
though,
deal,dealer;dealership;undealt
care,aftercare;;carefree;careful;carefully;carefulness;caregiver;caregiving;careless;carelessly;carelessness;carer;caretaker;caretaking;daycare;uncared
expect,expectancy;expectant;expectantly;expectation;expectedly;unexpected;unexpectedly;unexpectedness
company,
figure,figural;figuration
half,halftime;halfway
science,scientific;scientifically;scientificity;scientist;unscientific;unscientifically
matter,
draw,redraw;undrawn
rather,
list,playlist;unlisted
arm,armful;underarm
ten,tenth
within,
believe,believable;;believer;unbelievable;unbelievably;unbeliever;unbelieving;unbelievingly
step,sidestep;;stepwise
light,backlight;backlighting;;lighters;unlit
old,olden;oldish;oldy
hundred,hundredth
twenty,twentieth
nation,national;nationalisation;nationalise;nationalism;nationalist;nationalistic;nationalistically;nationally;nationhood;nationwide
allow,allowable;allowance
top,topless;topmost;topper;untopped
complete,completely;completeness;completion;incomplete;incompletely;incompleteness;uncompleted
love,lovable;;loveless;lover;lovey;lovingly;unlovable;unloved
amount,
hear,hearer;mishear;reheard;unheard
money,
couple,uncoupled
normal,normalisation;normalise;normality;normally
story,understory
final,finalise;finalist;finality;finalize;finally;semifinalist
along,
imagine,imaginable;imaginably;imaginary;imagination;imaginative;imaginatively;;unimaginable;unimaginably;unimaginative;unimaginatively;unimagined
moment,momentarily;momentary
mention,unmentionable;unmentioned
child,childcare;childhood;childish;childishly;childishness;childless;childlessness;childlike;schoolchild
break,backbreaker;backbreaking;;breakable;breakage;breakaway;breakdown;breaker;breakout;breakpoint;breakthrough;breakup;breakwater;brokenly;daybreak;outbreak;unbreakable
explain,explainer;explanation;explanatory;unexplained
piece,centerpiece;;piecewise;piecework;showpiece;timepiece;workpiece
hope,hopeful;hopefully;hopefulness;hopeless;hopelessly;hopelessness;hoper
best,
open,opener;openly;openness;reopen;unopened
low,lowish;lowly
size,downsize;sizable;;undersize
present,presentable;presentably;presentation;presentational;presenter;unpresentable
without,
usual,unusual;unusually;usually
rule,misrule;;rulebook;ruler;unruled
sorry,sorriness
position,positional;reposition
total,totality;totalizing;totally;untotalled
ever,forever
across,
wave,waveform;wavefunction
black,blacken;blackish;blackly;blackness;blackout
nothing,nothingness
almost,
involve,involvement;uninvolved
hold,freeholder;handheld;;holder;placeholder;smallholder;unheld
death,deathless;deathlessly;deathlike;deathly
must,
lose,loser
plan,planner;unplanned
single,singleness;singly
pick,picker;picky;unpick
guess,guessable;guesswork;unguessable
pass,impassable;impassably;;passable;passably;passer
notice,noticeable;noticeably;unnoticeable;unnoticed
white,whiten;whitener;whiteness;whitish
manage,manageable;management;manager;manageress;managerial;mismanage;mismanagement;unmanageable
head,figurehead;hardheaded;hardheadedly;hardheadedness;;headedness;headless;headset;headship;headwaters;headword;lightheaded;lightheadedness;subheading
inside,insider
quick,quicken;quickie;quickly;quickness
public,publically;publicly
home,homecoming;homegrown;homeless;homelessness;homemade;homemaker;homeowner;homeward;homework
air,airbase;airfield;airforce;airily;airiness;airless;airman;airpower;airspace;airtime;airy;midair
degree,
situation,situate;;situational;situationally
consider,consideration;consideringly;reconsider;reconsideration;unconsidered
wrong,wrongdoer;wrongdoing;wrongful;wrongfully;wrongfulness;wrongly;wrongness
nice,nicely;niceness
continue,continual;continually;continuance;continuation;;continuity;continuous;continuously
while,whilst
woman,womanhood;womaniser;womanising;womanizer;womankind;womanly
mind,mindedly;mindedness;minders;mindful;mindfulness;mindless;mindlessly;mindlessness
short,shortage;shortchange;shorten;shortish;shortlist;shortness
star,stardom;starlet;starlight;starlike;starry;startup
experience,experiential;experientially;inexperience
during,
stop,nonstop;showstopper;;stoplight;stoppage;stopper;unstoppable
fall,downfall;;fallback;fallout;footfall;waterfall
buy,buyback;buyer;buyout;homebuyer
against,
thank,thankful;thankfully;thankfulness;thankless;thanksgiving;thankyou;unthanked
house,clearinghouse;;housekeeper;housekeeping;houseman;houseplant;housewife;housewifely;housework;lighthouse;playhouse;powerhouse;rehouse;schoolhouse;statehouse;unhoused
room,anteroom;backroom;classroom;headroom;;roomful;roomy;schoolroom;showroom;workroom
city,
decide,decidedly;decider;undecided
leave,leaver
key,keyword
sit,babysit;babysitter;babysitting;resit;;sitter
choose,choosy;unchosen
land,homeland;;landform;landholder;landholding;landless;landline;landowner;landownership;landowning;landward;lowland;mainland;overland
speak,misspeak;;speaker;unspeakable;unspeakably;unspeaking
meet,unmet
stand,bystander;freestanding;handstand;longstanding;outstanding;outstandingly;;standby;standout;standpoint;standstill
million,millionth
health,healthcare;healthful;healthfully;healthfulness;healthily;healthy;heathland;unhealthy
main,mainline;mainliner;mainly
local,localisation;localise;localism;locally
hour,hourly
sell,bestseller;bestselling;bookseller;bookselling;resell;reseller;;seller;unsold
thousand,thousandth
difficult,difficulty
paper,paperback;paperless;paperwork;papery
until,
spend,misspent;;spender;unspent
drive,driver;driveway
fast,
front,forefront;;frontage;frontal;frontally;frontline;frontmost;frontwards;waterfront;wavefront
die,diehard;undying
fair,fairly;fairness;unfair;unfairly;unfairness
ago,
perhaps,
strong,strongly
tree,subtree;;treeless;treetop
send,sender;unsent
cut,cutaway;cutback;cutoff;cutout;cutter;uncut
express,expressible;expression;expressionless;expressionlessly;expressive;expressively;expressiveness;expressly;inexpressible;unexpressed
absolute,absolutely;absolutism;absolutist
return,returnable;returnee;returner;unreturned
business,businesslike;businessman;businesspeople;businesswoman;unbusinesslike
deep,deepen;deeply;depth
educate,education;educational;educationalist;educationally;educationist;educative;educator;miseducated;uneducated
tend,tendency
game,gamekeeper
share,shareholder;shareholding;unshared
ground,fairground;foreground;;groundless;groundwater;groundwork;playground;underground;ungrounded
necessary,necessarily;;unnecessarily;unnecessary
red,redden;reddish;reddy;redheads;redline
full,fullback;fullness;fulltime;fulltimer;fully;overfull
since,
wall,sidewall;;wallpaper
although,
job,jobber;jobbery;jobless
sign,signer;unsigned
note,keynote;notable;notably;;notebook;notepaper
face,faceless
middle,middleman
carry,carrier
family,familial;subfamily
huge,hugely;hugeness
rights,rightful;rightfully;rightly;rightness;righto;;righty
toward,
suggest,suggestible;suggestion;suggestive;suggestively;suggestiveness
agree,agreeable;agreeably;agreement
kill,killer
weight,paperweight;unweighted;;weightless;weightlessly;weightlessness
age,ageism;ageist;ageless;ager;underage
instead,
special,specialisation;specialise;specialism;specialist;speciality;specially;specialty
load,armload;caseload;download;;loader;payload;reload;unload;upload;workload
worry,unworried;worriedly;worriedness;worrier;;worryingly
protect,protection;protectionism;protectionist;protective;protectively;protectiveness;protector;protectorship;unprotected
laugh,laughable;laughably;laughingly
south,southerly;southside
perfect,imperfect;imperfection;imperfectly;;perfection;perfectionism;perfectionist;perfectly
near,nearby;nearly;nearness;nearside
cross,crosscut;crosslike;crossly;crossness;crossover;uncrossed
bottom,bottomless
cover,coverage;coverall;coverlet;uncover
concern,unconcern
store,bookstore;storable;storage;;storefront;storehouse;storeroom
alright,alrighty
major,majorly
shape,misshape;misshapen;;shapeless;shapelessly;shapelessness;shapeliness;shapely;shaper;unshapely
walk,crosswalk;sidewalk;spacewalk;spacewalker;;walkable;walker;walkie;walkout;walkthrough;walkway
feed,feedback;feeder;unfed
rest,armrest;;restful;restfully;restfulness;restless;restlessly;restlessness;restroom
check,checkbook;checker;checklist;checkout;checkpoint;paycheck;unchecked
service,serviceable;serviceman;unserviced
member,membership
page,homepage
car,
board,blackboard;;boardroom;noticeboard;onboard;signboard;storyboard;whiteboard
north,northerly;northernmost;northward;northwest
support,supporter;supportive;unsupported
drop,backdrop;;droplet;dropout;dropper
table,tablecloth;tabletop;timetable
stage,backstage;offstage;onstage
above,
young,youngish;youngster
treat,mistreat;mistreatment;pretreated;pretreatment;;treatable;treatment;untreatable;untreated
web,webpage;website
past,
thirty,thirtieth;;thirtysomething
stay,stayer
animal,
choice,choicest
heat,heatedly;heater;preheat;reheat;unheated
record,prerecord;;recorder;unrecorded
fine,finely;fineness;finery
month,monthly
appear,appearance;reappear;reappearance
count,countable;countdown;countless;recount;uncountable;uncounted;undercount
wait,waitlist
raise,raiser
especially,especial
party,
bar,barman;barroom;crossbar;sidebar;unbarred
hit,hitter;mishit;unhit
collect,collectable;collection;collective;collectively;collectivism;collectivist;collectivity;collectivization;collector;uncollected
behind,
night,goodnight;;nighter;nightfall;nightlife;nightly;nightstand;nighttime
fight,fighter;infighting
plant,planter;replant;unplanted
double,doubly;redouble
happy,happily;happiness;;unhappily;unhappiness;unhappy
drug,druggie;drugstore;dugout
fun,funhouse;funnily;funny
push,pushback;pusher;pushover;pushy
wonder,wonderful;wonderfully;wonderingly;wonderment;wondrous;wondrously
sex,sexily;sexiness;sexism;sexist;sexless;sexual;sexualisation;sexualise;sexuality;sexually;sexy
pull,pullback;pullout
team,teamwork
further,furtherance;furthers
parent,parentage;parental;parenthood;parentless
slow,slowdown;slowly;slowness
cool,coolant;coolers;coolly;coolness;uncool
sound,soundless;soundlessly
fix,fixable;fixedly;fixer;fixity;unfixed
friend,friendless;friendliness;friendly;friendship;unfriendly
rise,riser
watch,watcher;watchful;watchfully;watchfulness;watchmaker;watchman;watchword
serve,servant;;server;servery;unserved
worse,worsen
train,powertrain;;trainee;trainer;untrained
realise,realisable;realisation;;unrealised
colour,coloration;colorful;colorfully;colorless;;colourist;colourless;watercolor;watercolorist
mark,bookmark;checkmark;;markdown;markedly;marker;markup;trademark;unmarked
wide,statewide;;widely;widen;wideness;width;worldwide
several,severally
fit,fitness;fitters;fittingly;unfit;unfitness
forget,forgetful;forgetfully;forgetfulness;forgettable;unforgettable;unforgotten
however,
kid,
subject,
finish,finisher;unfinished
report,reportedly;reporter;unreported
gas,gaseous
safe,failsafe;;safekeeping;safely;safeness;safety;safeways;unsafe
pair,pairwise;unpaired
indeed,
round,rounders;roundly;roundness;roundtable;roundup
street,streetlight
accept,acceptability;acceptable;acceptably;acceptance;acceptor;unacceptability;unacceptable;unacceptably
doctor,
chance,mischance
definite,definitely;indefinite;indefinitely
straight,straighten;straightener;straightness;unstraightened
post,goalpost;;postage;postal;postman;postmark;signpost
edge,edger;edgewise
fly,flier;;flyover;flypaper;unflown
stick,sticker;unstuck
among,amongst
blue,blueness;bluey;bluish
fill,backfill;;filler;landfill;refill;refillable;unfilled
worth,unworthy;noteworthiness;noteworthy;;worthily;worthiness;worthless;worthlessness;worthy
discover,discoverer;discovery;rediscover;rediscovery;undiscovered
poor,poorly;poorness
reach,reachable
miss,unmissed
slight,slightly
forward,forwarder
rough,roughage;roughen;roughish;roughly;roughness
green,evergreen;;greenfly;greenish;greeny
farm,farmer;farmhand;farmhouse;farmland;farmworker;unfarmed
ready,readily;readiness;;readying;readymade;unready
offer,offeree;offerer;offeror
eye,eyeful;eyeless;eyelet;eyeliner;eyepiece;eyewall
responsible,irresponsible;irresponsibly;responsibility;;responsibly
cold,coldish;coldly;coldness;coldwater
self,selfhood;selfish;selfishly;selfishness;selfless;selflessly;selflessness;unselfish;unselfishly;unselfishness
hello,hey;hi
upon,
ahead,
office,postoffice
throw,throwaway;throwback;thrower
god,goddess;godless;godlike;godliness;godly;godsend;godspeed
please,pleasingly;unpleased
box,toolbox;inbox
photograph,photographer;photographic;photographically;photography
recent,recently
nobody,
foot,barefoot;;footer;foothold;footnote;footprint;footstep;underfoot
movie,moviegoer
serious,seriously;seriousness
surprise,surprisingly;unsurprised;unsurprisingly
owned,owner;ownership
except,
date,datable;;dateline;playdate;undated
letter,letterbox;unlettered
enter,unentered
save,lifesaver;;saver;unsaved
morning,
track,backtrack;soundtrack;;tracker;trackless
door,backdoor;;doorstep;doorway;indoor;outdoor;outdoorsman;outdoorsy
fish,fisherman;fishers;fishery;fishily;fishiness;fishy;goldfish;overfish;starfish
pack,backpack;backpacker;;package;packer;unpack
fire,crossfire;;firefly;firelight;fireman;firepower;fireside;firewall;firewater;gunfire;misfire;wildfire
judge,judgement;judgemental;misjudge;misjudgement;prejudge;prejudgement
danger,dangerous;dangerously;endanger;endangerment
tax,nontaxable;pretax;;taxable;taxation;taxman;taxpayer;untaxed
below,belowground
beauty,beauteous;beautician;beautification;beautiful;beautifully;beautify
pain,painful;painfully;painfulness;painkiller;painkilling;painless;painlessly;painlessness
employ,employability;employable;employee;employer;employment;unemployable;unemployed;unemployment
baby,babyish
billion,billionth
drink,drinkable;drinker;undrunk
dead,deaden;deadly;deadweight;undead
extra,
hole,keyhole;manhole
west,midwest;;westerly;westward
strike,airstrike;keystroke;;striker;strikingly
proper,improper;improperly;properly
apart,
bear,airborne;;bearable;bearably;bearer;borehole;childbearing;unbearable;unbearably;waterborne
island,islander
hot,hothouse;hotly;hotness;hotplate
oil,oiler;oilfield;oiliness;oily;unoiled
ball,ballplayer;ballroom;eyeball;fireball;paintball
east,easterly;eastward;southeast;southeasterners;southward;southwest;southwesterly;southwestern;southwesterner
unless,
prepare,preparation;preparatory;;preparedness;unprepared
soon,
born,reborn;unborn;firstborn;freeborn;inborn;newborn
telephone,headphone;;telephonic
heavy,heavily;heaviness;;heavyweight
lay,layman;layoff;layout;laypeople
advertise,adman;advert;;advertisement;advertiser
catch,catcher;catchy;flycatcher;uncaught
arrange,arrangement;arranger;prearrange;rearrange;rearrangement
sudden,suddenly;suddenness
bill,billboard;handbill;playbill
shoot,offshoot;;shooter;shooting;shootout
river,downriver;;riverbank;riverside
beyond,
excite,excitable;excitably;excitation;;excitedly;excitement;exciter;unexciting
race,racecar;racecourse;racehorse;racer;racetrack;raceway
burn,burnable;burner;sunburn;unburnable
amaze,amazement;amazingly
trouble,troublemaker;troubleshoot;troubleshooter;troublesome;troublingly;untroubled
clock,anticlockwise;;clocker;clockwise;counterclockwise;oclock
secure,insecure;insecurity;;securely;security;unsecured
lie,liar
travel,traveler;traveller
hang,hanger;hangman;hangout;unhung
fear,fearful;fearfully;fearless;fearlessly;fearlessness;unfeared
video,
aware,awareness;unaware
mother,motherboard;motherhood;motherland;motherly
ship,airship;gunship;;shipbuilder;shipbuilding;shipment;shipper;spaceship;starship;warship
police,policemen;policewoman
rain,raindrop;rainfall;rainwater;rainy
dark,darken;darkener;darkly;darkness;darkroom;darky
town,chinatown;downtown;hometown;;townhome;townhouse;township;townsman
fortunate,fortunately;unfortunate;unfortunately
neighbour,neighborhood;neighborliness;neighborly;;neighbourhood;neighbourliness
closed,unclosed
road,crossroads;crosstalk;inroad;;roadblock;roadmap;roadshow;roadside;roadway;roadwork;roadworker;roadworthiness;roadworthy
birth,birthdate;birthday;birthmark;birthplace;birthrate;birthright;birthweight;childbirth;rebirth;stillbirth
news,newsgroup;newsletter;newsman;newsroom;newsround;newsstand;newswoman;newsworthiness;newsworthy;newsy
summer,midsummer;;summertime;summery
spring,springboard;springtime
king,kingdom;kingly;kingship
jump,jumper;jumpy
listen,listener
music,musical;musically;musician;musicianship
park,carpark;;parkland
blow,blower;deathblow
pound,
thursday,
shop,bookshop;;shopkeeper;shopper;workshop
expensive,expensively;inexpensive;inexpensively;inexpensiveness
window,windowless
visit,revisit;revisitation;unvisited;;visitation;visitor
touch,touchable;touchdown;touchingly;untouchable
join,rejoin
terrible,terribly
mistake,mistakenly;unmistakable;unmistakably;unmistakeable;unmistakeably
station,substation;workstation
rich,richly;richness
rid,
ring,ringside
suit,jumpsuit;lawsuit;spacesuit;;suitability;suitable;suitably;unsuitability;unsuitable;unsuitably;unsuited
monday,Monday
truth,truthful;truthfully;truthfulness;truthiness;untruth;untruthful;untruthfully;untruthfulness
college,collegian
trust,antitrust;entrust;;trusty
television,televise;;telly
conversation,conversant;;conversational;conversationalist;conversationally;converse
waste,wastage;;wasteful;wastefully;wastefulness;wasteland;wastepaper;waster
mile,mileage
master,headmaster;housemaster;;masterclass;masterful;masterly;mastermind;masterwork;mastery;paymaster;postmaster;schoolmaster;webmaster
luck,luckily;luckless;lucky;unluckily;unlucky
tie,untie
spot,spotless;spotlessly;spotlessness;spotlight;spotter;spottily;spottiness;spotty;sunspot
flat,flathead;flatly;flatness;flatten;flattish
ought,
quarter,quarterfinal;quarterly
handle,handlebar;handler;mishandle
wednesday,
wear,footwear;nightwear;underwear;unwearable;unworn;;wearable;wearer;workwear
press,unpressed
twelve,twelfth
beat,beater;heartbeat;offbeat;unbeatable;unbeaten
alone,standalone
egg,
bright,brighten;brightly;brightness
boy,boyfriend;boyhood;boyish;playboy;schoolboy
floor,floorboard;floorplan;seafloor
noise,noiseless;noiselessly;noisily;noisy
father,fatherhood;fatherland;fatherless;fatherly
none,
tape,videotape
friday,
corner,cornerstone
smoke,nonsmoking;;smokeless;smoker;smokescreen;smokey;smokiness
rock,rocklike;rocky;sheetrock
tuesday,
brown,brownish;browny
bus,airbus
odd,oddity;oddly;oddness
promise,unpromising
son,sonny
gold,golden;goldmine;goldsmith
enjoy,enjoyable;enjoyment;unenjoyable
empty,emptiness;;emptying
apparent,apparently
pop,
lake,lakefront;lakeside
lock,headlock;;lockable;lockdown;locksmith;lockstep;lockup;unlock
roll,roller;rollout;rollover;unroll
skin,
strange,strangely;strangeness;strangers
mess,messily;messiness;messy
glass,eyeglasses;;glassblower;glasshouse;glassily;glassiness;glassworks;glassy;hourglass;sunglass
wish,wisher
hat,hardhat;;hatful;hatter
lift,airlift;;lifter;liftoff;uplift;weightlifter;weightlifting
arrive,arrival
cheap,cheapen;cheaply;cheapness
dream,daydream;daydreamer;;dreamer;dreamily;dreamless;dreamlessly;dreamlike;dreamy;undreamed
crazy,crazily;craziness
doubt,doubter;doubtful;doubtfully;doubtless;undoubtably;undoubted;undoubtedly
shall,
dog,dogfight;doggy;watchdog
gun,gunless;gunner;gunnery;gunpoint;gunshot;handgun;shotgun
forest,forester;forestry;rainforest
brother,brotherhood;brotherly
comfort,comfortable;comfortably;comfortingly;uncomfortable;uncomfortably;uncomforted
tight,airtight;airtightly;airtightness;;tighten;tightly;tightness;watertight
wine,winery
girl,girlfriend;girlhood;girlish;girlishly;girlishness;girly
marry,intermarriage;intermarry;marriage;marriageable;;remarriage;remarry;unmarriageable;unmarried
mister,
tail,tailbone;tails
card,postcard;undercard
settle,resettle;resettlement;resettler;;settlement;settler;settlor
sleep,sleeper;sleepily;sleepiness;sleepless;sleepover;sleepwalk;sleepwalker;sleepy
dry,driers;drily;;dryly;dryness
wife,wifely
bed,bedpost;bedroom;bedside;bedtime;deathbed;riverbed;seabed
hospital,hospitalisation;hospitalise
thick,thicken;thickener;thickly;thickness
sir,
hide,hideaway;hider;unhidden
wood,backwoods;firewood;hardwood;redwood;redwoods;;woodcut;wooden;woodland;woodman;woody
ride,rideable;rider;ridership
hair,crosshair;;haircut;hairdo;hairdryer;hairless;hairline;hairnet;hairstyle;hairstylist;hairy
