Word,naver_priority
decline,2
decorate,2
decoration,2
decrease,2
dedicated,0
dedication,1
deed,2
deeply,2
default,0
defeat,2
defect,1
defence,2
defend,2
defender,1
defensive,1
deficiency,1
deficit,1
definite,2
definition,2
delegate,1
delegation,1
delete,1
deliberate,2
deliberately,2
delicate,2
delight,2
delighted,2
deliver,2
delivery,2
demand,2
democracy,1
democratic,2
demon,1
demonstrate,2
demonstration,1
denial,1
denounce,1
dense,1
density,1
deny,2
depart,2
departure,2
dependence,1
dependent,1
depict,1
deploy,0
deployment,0
deposit,2
depressed,2
depressing,2
depression,1
deprive,1
depth,2
deputy,1
derive,1
descend,1
descent,1
description,2
desert,2
deserve,2
designate,1
desirable,1
desire,2
desktop,0
desperate,2
desperately,1
despite,2
destination,1
destruction,2
destructive,1
detail,2
detailed,2
detain,1
detect,1
detection,0
detention,0
deteriorate,1
determination,2
determine,2
determined,2
devastate,1
development,2
devil,2
devise,1
devote,2
diagnose,0
diagnosis,1
diagram,2
diamond,2
dictate,1
dictator,1
differ,1
differentiate,1
difficulty,2
dig,2
dignity,1
dilemma,1
dimension,1
diminish,1
diplomatic,1
directly,2
directory,1
disability,1
disabled,2
disadvantage,2
disagreement,2
disappoint,2
disappointed,2
disappointing,2
disappointment,2
disastrous,1
discard,1
discharge,1
discipline,2
disclose,1
disclosure,1
discount,2
discourage,1
discourse,1
discretion,1
discrimination,1
dishonest,2
dislike,2
dismiss,2
dismissal,1
disorder,1
displace,1
display,2
disposal,1
dispose,1
dispute,1
disrupt,1
disruption,1
dissolve,2
distant,2
distinct,1
distinction,1
distinctive,1
distinguish,2
distort,1
distract,1
distress,1
distribute,2
distribution,2
district,2
disturb,2
disturbing,2
dive,1
diverse,1
diversity,1
divert,1
divide,2
division,2
divorce,2
doctor,2
doctrine,1
document,2
documentary,1
documentation,0
domain,1
domestic,2
dominance,0
dominant,1
dominate,2
donate,1
donation,1
donor,0
dose,1
dot,2
double,2
doubt,2
download,0
downstairs,2
downtown,1
downwards,2
dozen,2
draft,2
drama,2
dramatic,2
dramatically,1
drawing,2
dream,2
dressed,2
drive,2
driving,2
drop,2
drought,1
drown,1
drug,2
drum,2
drunk,2
dry,2
due,2
dull,2
dump,2
duration,1
dust,2
dynamic,1
eager,1
ear,2
earn,2
earnings,0
earth,2
earthquake,1
ease,2
easily,2
eastern,2
ecological,0
economic,2
economics,1
economist,1
economy,2
edit,1
editorial,1
educated,2
education,2
educational,1
educator,1
effective,2
effectively,2
effectiveness,0
efficiency,1
efficient,2
efficiently,2
effort,2
ego,0
eighteen,2
eighty,2
elaborate,1
elbow,2
elderly,2
elect,2
electoral,0
electric,2
electrical,2
electricity,2
electronic,2
electronics,1
elegant,2
element,2
elementary,1
elephant,2
elevate,1
eligible,1
eliminate,1
elite,1
elsewhere,2
embark,1
embarrassed,2
embarrassing,2
embarrassment,2
embassy,1
embed,0
embrace,1
emerge,2
emergence,0
emergency,2
emission,1
emotion,2
emotional,2
emotionally,0
emphasis,2
emphasize,1
empire,2
empirical,1
employ,2
employee,2
employer,2
employment,2
empower,1
empty,2
enable,2
encompass,0
encounter,2
encourage,2
encouragement,2
encouraging,0
endeavour,0
endless,1
endorse,1
endorsement,0
endure,1
enemy,2
enforce,1
enforcement,1
engage,2
engaged,2
engagement,1
engaging,0
engineering,2
enhance,1
enjoyable,2
enormous,2
enquire,1
enquiry,2
enrich,1
enrol,0
ensure,2
enter,2
enterprise,1
entertain,2
entertaining,2
entertainment,2
enthusiasm,2
enthusiast,0
enthusiastic,2
entire,2
entirely,2
entitle,2
entrance,0
entrepreneur,0
envelope,2
environment,2
environmental,2
epidemic,1
episode,1
equal,2
equality,1
equally,2
equation,1
equip,1
equipment,2
equivalent,2
era,1
erect,1
erupt,0
escape,2
essay,2
essence,1
essential,2
essentially,2
establish,2
establishment,1
estate,2
estimate,2
eternal,1
ethic,0
ethical,1
ethnic,0
euro,2
evacuate,1
evaluate,1
evaluation,1
even,2
evening,2
event,2
eventually,2
everybody,2
everyone,2
everything,2
everywhere,2
evidence,2
evident,1
evoke,1
evolution,1
evolutionary,1
evolve,1
exaggerate,2
exam,2
examination,2
examine,2
example,2
exceed,1
excellence,1
excellent,2
except,2
exception,2
exceptional,1
excess,1
excessive,1
exchange,2
excited,2
excitement,2
exciting,2
exclude,2
exclusion,1
exclusive,1
exclusively,1
excuse,2
execute,1
execution,1
executive,2
exercise,2
exert,1
exhibit,2
exhibition,2
exile,1
existence,2
exit,2
exotic,1
expand,2
expansion,1
expectation,2
expected,2
expedition,1
expenditure,1
expense,2
expensive,2
experience,2
experienced,2
experiment,2
experimental,1
expert,2
expertise,0
expire,1
explain,2
explanation,2
explicitly,0
explode,2
exploit,0
exploitation,1
exploration,1
explosion,2
explosive,1
export,2
expose,2
exposure,1
express,2
expression,2
extend,2
extension,2
extensive,2
extensively,1
extent,2
external,1
extra,2
extract,1
extraordinary,2
extreme,2
extremely,2
extremist,0
eye,2
fabric,1
fabulous,1
facilitate,1
facility,2
faction,1
factor,2
failed,0
fake,1
fame,2
family,2
famous,2
fantastic,1
fantasy,1
far,2
fare,2
farm,2
fashionable,2
fasten,2
favourable,0
feat,1
february,2
federal,2
fever,2
fibre,0
fiction,1
fifteen,2
film-maker,0
filter,1
finding,1
firefighter,0
firework,1
firm,2
firmly,2
fish,2
fixed,2
flat,2
flavour,2
flesh,2
flexibility,1
flourish,1
fly,2
focus,2
following,2
fond,2
fool,2
forbid,1
force,2
forecast,2
foreign,2
foreigner,1
forest,2
forever,2
forge,1
forgive,2
format,1
formation,1
formerly,2
formulate,1
forth,2
forthcoming,1
fortunate,1
fortunately,1
fortune,2
forum,1
forward,2
fossil,1
foster,1
found,2
foundation,2
founder,1
fourteen,2
fourth,2
fraction,1
fragile,1
fragment,1
frame,2
framework,1
franchise,1
frankly,1
fraud,1
free,2
freely,2
freeze,2
frequency,1
frequent,2
frequently,2
fridge,2
friendship,2
frighten,2
frightened,2
frightening,2
front,2
frozen,2
fruit,2
frustrated,0
frustrating,0
frustration,1
fry,2
fulfil,0
full-time,0
function,2
functional,1
fundamental,2
fundamentally,1
funding,0
fundraising,0
funeral,2
fur,2
furious,1
furniture,2
further,2
furthermore,1
future,2
gain,2
gallery,1
gallon,2
gambling,2
game,2
gaming,0
garage,2
garden,2
gather,2
gathering,1
gay,2
gaze,2
gear,2
gender,1
gene,0
generally,2
generation,2
generous,2
genetic,0
genius,1
gentle,2
gentleman,2
genuine,2
genuinely,1
geography,2
gesture,1
get,2
ghost,1
gift,2
gig,0
girl,2
glad,2
global,2
globalization,0
globe,1
glove,2
golden,2
golf,1
goodness,1
gorgeous,1
government,2
governor,2
grade,2
gradually,2
graduate,1
grain,2
grand,2
grandfather,2
grandmother,2
grandparent,2
graphic,1
graphics,0
grass,2
grateful,2
grave,2
gravity,1
great,2
greatly,2
greenhouse,1
grocery,2
growth,2
guarantee,2
guard,2
guest,2
guideline,0
guilty,2
habitat,1
hand,2
handle,2
happiness,2
harbour,0
hardly,2
harmful,2
hate,2
have,2
headache,2
headline,1
headquarters,1
heal,2
healthcare,0
hearing,2
heart,2
heating,2
heaven,2
heavily,2
heavy,2
heel,2
height,2
helicopter,2
helmet,1
help,2
helpful,2
hence,2
herb,1
hero,2
herself,2
hesitate,2
hidden,1
hide,2
high,2
highlight,2
highly,2
highway,2
hilarious,0
hip,2
hire,2
his,2
historian,1
historical,2
hollow,2
holy,2
homeless,1
homework,2
honest,2
honesty,1
honour,2
hook,2
hope,2
hopefully,0
horizon,1
horrible,1
horror,2
host,2
hostile,1
hostility,1
household,2
housing,2
human,2
humanitarian,1
humanity,1
humble,1
humorous,2
humour,2
hundred,2
hunger,1
hungry,2
hunt,2
hunting,2
hurricane,1
hurry,2
hurt,2
husband,2
hydrogen,1
hypothesis,1
ice,2
icon,0
id,0
ideal,2
identical,1
identification,1
identify,2
identity,2
ideological,0
ideology,1
idiot,1
ignore,2
illegal,2
illusion,1
illustrate,2
illustration,1
imagery,0
imaginary,2
imagination,2
immediate,2
immediately,2
immense,1
immigrant,1
immigration,1
imminent,1
immune,0
impact,2
impatient,2
implement,1
implementation,0
implication,2
imply,2
import,2
importance,2
impossible,2
impress,2
impressed,2
impression,2
impressive,2
imprison,1
imprisonment,0
improvement,2
in,2
inability,2
inadequate,1
inappropriate,0
incentive,1
inch,2
incidence,0
inclined,0
included,0
including,2
inclusion,1
income,2
incorporate,1
incorrect,1
increase,2
increasingly,2
incredible,1
incredibly,0
indeed,2
independence,2
independent,2
index,2
indicate,2
indication,2
indictment,1
indigenous,0
indirect,2
individual,2
indoor,2
indoors,2
induce,1
industrial,2
industry,2
inequality,1
inevitable,2
inevitably,2
infamous,1
infant,1
infection,2
infer,1
infinitive,1
inflation,1
influence,2
info,0
inform,2
informal,2
infrastructure,0
ingredient,2
inhabitant,1
inherent,1
inherit,1
inhibit,1
initially,2
initiative,2
injure,2
injured,2
injury,2
injustice,1
ink,2
inner,2
innocent,2
innovation,1
innovative,0
input,1
insect,2
insert,2
insertion,1
insider,0
insight,1
inspection,1
inspector,1
inspiration,1
installation,1
instance,2
instant,2
instantly,1
instead,2
instinct,1
institute,2
institution,2
institutional,1
instruct,1
instrumental,1
insufficient,1
insult,2
insurance,2
integrate,1
integrated,0
integration,1
integrity,1
intellectual,1
intelligence,2
intend,2
intended,2
intense,1
intensify,1
intensity,1
intensive,1
intent,0
intention,2
interact,0
interaction,0
interactive,0
interface,0
interfere,1
interference,1
interim,0
interior,2
intermediate,1
internal,2
international,2
interpret,2
interpretation,2
interrupt,2
interval,2
intervene,1
intervention,1
intimate,1
intriguing,0
introduction,2
invade,1
invasion,1
invest,2
investigate,2
investigation,2
investigator,1
investment,2
investor,1
invisible,1
invoke,1
involved,2
involvement,2
iron,2
ironic,1
ironically,0
irony,1
irrelevant,0
isolate,1
isolated,1
isolation,1
issue,2
jail,1
jet,1
joint,2
journalism,1
judgement,2
judicial,1
junction,1
junior,2
jurisdiction,1
jury,1
just,2
justice,2
justification,1
kick,2
kidnap,1
kidney,1
kingdom,2
kiss,2
kit,1
knock,2
lad,2
ladder,1
landing,1
landmark,1
landscape,2
lane,2
lap,0
large-scale,0
largely,2
laser,0
lately,1
latest,2
latter,2
lawn,1
lawsuit,0
layout,1
leadership,1
leaflet,1
league,2
legacy,1
legend,1
legendary,1
legislation,1
legislative,1
legislature,1
legitimate,1
lengthy,1
lens,1
lesbian,0
lesser,1
lethal,1
level,2
liable,1
liberal,1
liberation,0
liberty,2
license,2
lifelong,0
lifetime,1
light,2
lighting,1
likelihood,1
likewise,1
limb,1
limit,2
limitation,1
line,2
linear,1
literally,1
literary,1
litre,2
litter,1
lock,2
logo,0
long-standing,0
long-term,0
long-time,0
look,2
loom,0
loop,1
loose,2
lord,2
lottery,1
loudly,1
lovely,2
low,2
loyal,2
loyalty,1
luck,2
lucky,2
lyric,1
machine,2
machinery,2
magazine,2
magical,1
magistrate,1
magnetic,1
magnificent,1
magnitude,1
main,2
mainland,1
mainstream,1
maintenance,1
majority,2
make,2
make-up,2
making,1
mall,1
mandate,1
mandatory,0
manifest,1
manipulate,1
manipulation,1
manufacture,2
manufacturing,2
manuscript,1
map,2
marathon,1
march,2
margin,1
marginal,1
marine,1
marker,1
marketplace,1
martial,1
mask,2
massacre,1
massive,2
master,2
matching,2
mate,2
material,2
mathematical,1
mature,1
maximize,0
maximum,2
may,2
maybe,2
mayor,2
me,2
meal,2
mean,2
meaning,2
meaningful,1
means,2
meantime,1
measurement,2
meat,2
mechanic,1
mechanical,1
mechanism,1
medal,1
medication,1
medieval,1
meditation,1
medium,2
meet,2
meeting,2
melody,1
melt,2
member,2
membership,2
memo,0
memoir,1
memorable,1
memorial,1
mentor,0
menu,2
merchant,2
mercy,1
merely,2
merge,1
merger,0
message,2
metaphor,1
methodology,0
metre,2
midnight,2
midst,1
migration,1
mile,2
militant,1
militia,1
milk,2
mill,2
miner,1
mineral,2
minimize,1
minimum,2
mining,1
minister,2
ministry,2
minor,2
minority,2
miracle,1
mirror,2
miserable,1
misery,1
misleading,1
missile,1
missing,2
mission,1
mistake,2
mix,2
mobile,2
mobility,1
mobilize,0
mode,1
model,2
moderate,1
modest,1
modification,1
moment,2
momentum,1
monday,2
monitor,2
monk,1
monkey,2
monopoly,1
monster,1
monthly,1
monument,1
moon,2
moral,2
morality,1
more,2
moreover,2
morning,2
mortgage,1
mosque,1
mostly,2
mother,2
motion,2
motivate,1
motivation,1
motive,1
motor,2
motorcycle,2
motorist,1
mount,2
mountain,2
movement,2
moving,2
multiple,1
multiply,2
mum,2
municipal,1
musical,2
musician,2
mutual,1
myself,2
mysterious,2
myth,1
naked,2
namely,1
narrow,2
nasty,1
national,2
nationwide,0
nature,2
naval,1
navigation,1
nearby,2
nearly,2
necessary,2
necessity,2
neck,2
need,2
negative,2
neglect,1
negotiate,1
negotiation,1
neighbour,2
neighbouring,0
nerve,2
nervous,2
nest,2
network,2
neutral,1
nevertheless,2
newly,2
newsletter,0
niche,0
nightmare,1
nineteen,2
ninety,2
no,2
noble,2
nobody,2
noise,2
nomination,1
nominee,0
non-profit,0
nonetheless,1
nonsense,2
noon,2
norm,1
normal,2
normally,2
north,2
nose,2
not,2
notable,1
notably,1
notebook,2
nothing,2
notice,2
notify,1
notion,1
notorious,1
novel,2
novelist,1
november,2
now,2
nowadays,1
nowhere,2
number,2
numerous,2
nurse,2
nursery,1
nursing,1
nutrition,1
obesity,0
obey,2
object,2
objection,1
objective,2
obligation,1
oblige,1
observation,2
observe,2
observer,1
obsess,1
obsession,1
obstacle,1
obtain,2
occasional,1
occasionally,2
occupation,1
occupy,2
occurrence,1
october,2
odds,1
of,2
offence,2
offender,1
offensive,2
offering,1
official,2
offspring,1
one,2
ongoing,0
onion,2
opening,2
openly,2
opera,1
operate,2
operational,1
operator,1
opponent,2
opportunity,2
oppose,2
opposed,2
opposition,2
opt,0
optical,1
optimism,1
optimistic,1
option,2
or,2
orchestra,1
organ,2
organic,1
organization,2
organizational,0
organize,1
orientation,1
originate,1
otherwise,2
ourselves,2
outbreak,1
outcome,1
outer,2
outfit,1
outing,1
outlet,1
outline,2
output,2
outrage,1
outside,2
outsider,1
outstanding,2
oven,2
overall,2
overcome,2
overlook,1
overnight,1
overseas,1
oversee,0
overturn,1
overwhelm,1
overwhelming,0
owe,2
own,2
ownership,1
oxygen,1
o’clock,2
pace,0
pack,2
package,2
packet,2
pad,1
painter,2
palace,2
palm,1
panel,2
panic,1
pants,2
parade,1
parallel,2
parameter,0
parental,1
parish,1
parking,1
parliament,2
parliamentary,1
part-time,1
partial,1
partially,1
participant,1
participation,1
particular,2
partly,2
partnership,2
pass,2
passage,2
passenger,2
passing,2
passionate,1
passive,1
password,0
past,2
pastor,1
patch,1
patent,1
pathway,1
patience,2
patient,2
patrol,1
patron,1
pattern,2
pause,2
pay,2
peace,2
peak,2
peasant,1
peculiar,1
peer,0
penalty,1
pension1,0
perceive,1
perception,1
perfectly,2
perform,2
performance,2
perhaps,2
permanent,2
permanently,1
permission,2
permit,2
persist,1
persistent,1
personality,2
personally,2
personnel,1
perspective,1
persuade,2
pet,2
petition,1
petrol,2
phase,2
phenomenon,1
philosopher,1
philosophical,0
philosophy,2
photograph,2
photographer,2
photography,2
physical,2
physician,1
physics,2
pick,2
picture,2
pill,2
pilot,2
pin,2
pioneer,1
pipe,2
pipeline,1
pirate,1
pity,2
place,2
placement,1
plane,2
planning,2
plate,2
platform,2
player,2
plead,1
pleasant,2
please,2
pleased,2
pleasure,2
pledge,1
plenty,2
plot,2
plug,2
plunge,1
plus1,0
pocket,2
poem,2
poetry,2
point,2
pointed,2
poison,2
poisonous,2
pole,2
police,2
policeman,2
policy,2
political,2
politician,2
politics,2
poll,1
pollution,2
pool,2
poor,2
pop,2
popular,2
popularity,1
population,2
port,2
portion,2
portrait,1
pose,2
position,2
positive,2
possess,2
possession,2
possibility,2
possible,2
possibly,2
post,2
post-war,0
poster,1
postpone,1
pot,2
potato,2
potential,2
potentially,0
pound,2
pour,2
poverty,1
powder,2
power,2
powerful,2
practical,2
practice,2
practise,2
practitioner,1
praise,2
pray,2
preach,1
precede,1
precedent,1
precious,2
precise,2
precisely,2
precision,1
predator,0
predecessor,1
predict,2
predictable,0
prediction,1
predominantly,0
prefer,2
preference,2
pregnancy,0
pregnant,2
prejudice,1
preliminary,1
premier,1
premise,1
premium,1
preparation,2
prepare,2
prepared,2
prescribe,1
prescription,1
presence,2
present,2
presentation,2
presently,2
preservation,1
preserve,2
preside,1
presidency,1
president,2
presidential,1
press,2
pressure,2
prestigious,0
presumably,2
presume,1
pretend,2
pretty,2
prevail,1
prevalence,1
prevent,2
prevention,1
previous,2
previously,1
prey,1
price,2
pride,2
priest,2
primarily,2
primary,2
prime,1
prince,2
princess,2
principal,2
principle,2
print,2
printing,2
prior,2
priority,2
prisoner,2
privacy,1
private,2
privatization,0
privilege,1
probability,1
probable,2
probably,2
probe,1
problem,2
problematic,0
procedure,2
proceed,2
proceedings,0
proceeds,0
process,0
processing,0
processor,0
proclaim,1
produce,2
producer,2
product,2
production,2
productive,1
productivity,1
profession,2
professional,2
professor,2
profile,1
profit,2
profitable,1
profound,1
program,2
programme,2
programming,0
progress,2
progressive,1
prohibit,1
project,2
projection,1
prominent,1
promising,1
promote,2
promotion,2
prompt,2
pronounce,2
pronounced,1
proof,2
propaganda,1
proper,2
properly,2
property,2
proportion,2
proposal,2
propose,2
proposition,1
prosecute,1
prosecution,1
prosecutor,1
prospect,2
prospective,1
prosperity,1
protection,2
protective,1
protein,1
protest,2
protester,0
protocol,0
proud,2
prove,2
province,1
provincial,1
provision,1
provoke,1
psychiatric,0
psychological,1
psychologist,1
psychology,1
publication,2
publicity,2
publishing,2
pull,2
pulse,1
pump,1
punch,2
punishment,2
punk,0
pupil,2
purchase,2
pure,2
purely,2
purple,2
pursue,2
pursuit,1
push,2
put,2
puzzle,1
qualification,2
qualified,2
qualify,2
quarter,2
query,1
quest,1
question,2
questionnaire,0
queue,1
quick,2
quickly,2
quiet,2
quit,2
quite,2
quota,0
quotation,1
quote,2
race,2
racial,1
racing,2
racism,0
racist,0
radar,1
radiation,1
radical,1
radio,2
rage,1
